label,i,j,K_ij
fcnn,1,0,20.567502975463867
fcnn,2,0,16.19369125366211
fcnn,2,1,16.886077880859375
fcnn,3,0,19.930484771728516
fcnn,3,1,19.36888885498047
fcnn,3,2,18.620161056518555
fcnn,4,0,18.5335750579834
fcnn,4,1,18.92060089111328
fcnn,4,2,19.4829158782959
fcnn,4,3,20.408981323242188
fcnn,5,0,17.4520320892334
fcnn,5,1,17.49201774597168
fcnn,5,2,22.9296875
fcnn,5,3,18.54384994506836
fcnn,5,4,20.482269287109375
fcnn,6,0,15.85590934753418
fcnn,6,1,16.34610366821289
fcnn,6,2,15.689702987670898
fcnn,6,3,17.454999923706055
fcnn,6,4,17.094921112060547
fcnn,6,5,16.677406311035156
fcnn,7,0,17.311737060546875
fcnn,7,1,17.785232543945312
fcnn,7,2,17.30970001220703
fcnn,7,3,18.441951751708984
fcnn,7,4,18.802265167236328
fcnn,7,5,17.819873809814453
fcnn,7,6,14.827442169189453
fcnn,8,0,19.037948608398438
fcnn,8,1,20.342670440673828
fcnn,8,2,17.934162139892578
fcnn,8,3,20.495527267456055
fcnn,8,4,20.052730560302734
fcnn,8,5,18.929141998291016
fcnn,8,6,17.211864471435547
fcnn,8,7,18.961673736572266
fcnn,9,0,19.758642196655273
fcnn,9,1,20.105449676513672
fcnn,9,2,19.286785125732422
fcnn,9,3,21.837142944335938
fcnn,9,4,21.894624710083008
fcnn,9,5,20.989643096923828
fcnn,9,6,16.75307846069336
fcnn,9,7,20.997873306274414
fcnn,9,8,22.295650482177734
fcnn,10,0,20.020484924316406
fcnn,10,1,20.39793586730957
fcnn,10,2,19.720705032348633
fcnn,10,3,23.39354133605957
fcnn,10,4,21.870880126953125
fcnn,10,5,20.341094970703125
fcnn,10,6,17.10124397277832
fcnn,10,7,20.21826171875
fcnn,10,8,21.61210060119629
fcnn,10,9,24.136451721191406
fcnn,11,0,19.951759338378906
fcnn,11,1,20.088932037353516
fcnn,11,2,16.975988388061523
fcnn,11,3,20.398338317871094
fcnn,11,4,18.704856872558594
fcnn,11,5,17.49216079711914
fcnn,11,6,16.046260833740234
fcnn,11,7,18.463687896728516
fcnn,11,8,20.15158462524414
fcnn,11,9,20.828508377075195
fcnn,11,10,21.87896728515625
fcnn,12,0,19.157846450805664
fcnn,12,1,20.607553482055664
fcnn,12,2,22.340572357177734
fcnn,12,3,22.49261474609375
fcnn,12,4,24.20316505432129
fcnn,12,5,24.103424072265625
fcnn,12,6,18.20890998840332
fcnn,12,7,20.600685119628906
fcnn,12,8,22.777904510498047
fcnn,12,9,24.95456886291504
fcnn,12,10,25.287260055541992
fcnn,12,11,20.472084045410156
fcnn,13,0,20.445627212524414
fcnn,13,1,21.473093032836914
fcnn,13,2,20.77308464050293
fcnn,13,3,21.33040428161621
fcnn,13,4,22.180017471313477
fcnn,13,5,22.204055786132812
fcnn,13,6,17.29484748840332
fcnn,13,7,19.95970344543457
fcnn,13,8,21.622459411621094
fcnn,13,9,24.342998504638672
fcnn,13,10,25.52964210510254
fcnn,13,11,21.007511138916016
fcnn,13,12,26.29871940612793
fcnn,14,0,16.864521026611328
fcnn,14,1,16.72580337524414
fcnn,14,2,17.228206634521484
fcnn,14,3,17.90061378479004
fcnn,14,4,18.82200813293457
fcnn,14,5,17.175048828125
fcnn,14,6,14.06833553314209
fcnn,14,7,18.198123931884766
fcnn,14,8,16.890953063964844
fcnn,14,9,18.338756561279297
fcnn,14,10,21.48961639404297
fcnn,14,11,18.477649688720703
fcnn,14,12,21.359432220458984
fcnn,14,13,21.593093872070312
fcnn,15,0,16.294147491455078
fcnn,15,1,17.337310791015625
fcnn,15,2,15.168363571166992
fcnn,15,3,17.11918067932129
fcnn,15,4,16.640296936035156
fcnn,15,5,15.155731201171875
fcnn,15,6,14.400044441223145
fcnn,15,7,16.39301109313965
fcnn,15,8,17.91175651550293
fcnn,15,9,17.139076232910156
fcnn,15,10,19.778125762939453
fcnn,15,11,17.99186134338379
fcnn,15,12,18.004711151123047
fcnn,15,13,18.80603790283203
fcnn,15,14,17.1312313079834
fcnn,16,0,18.626659393310547
fcnn,16,1,19.789718627929688
fcnn,16,2,16.10097885131836
fcnn,16,3,17.151491165161133
fcnn,16,4,17.560203552246094
fcnn,16,5,16.856760025024414
fcnn,16,6,15.170766830444336
fcnn,16,7,16.389591217041016
fcnn,16,8,17.33905029296875
fcnn,16,9,16.9294376373291
fcnn,16,10,19.08119773864746
fcnn,16,11,20.942398071289062
fcnn,16,12,19.908283233642578
fcnn,16,13,20.347877502441406
fcnn,16,14,17.625865936279297
fcnn,16,15,16.64716911315918
fcnn,17,0,17.360321044921875
fcnn,17,1,19.091997146606445
fcnn,17,2,17.89775276184082
fcnn,17,3,18.694866180419922
fcnn,17,4,19.27555274963379
fcnn,17,5,17.866941452026367
fcnn,17,6,15.269830703735352
fcnn,17,7,18.36138153076172
fcnn,17,8,19.305526733398438
fcnn,17,9,19.93435287475586
fcnn,17,10,21.28744888305664
fcnn,17,11,17.674928665161133
fcnn,17,12,21.274349212646484
fcnn,17,13,21.15674591064453
fcnn,17,14,18.001605987548828
fcnn,17,15,17.281320571899414
fcnn,17,16,16.597896575927734
fcnn,18,0,19.38509750366211
fcnn,18,1,20.03151512145996
fcnn,18,2,15.95526123046875
fcnn,18,3,20.124671936035156
fcnn,18,4,18.32366943359375
fcnn,18,5,16.237070083618164
fcnn,18,6,15.720072746276855
fcnn,18,7,16.946292877197266
fcnn,18,8,19.4228515625
fcnn,18,9,20.415708541870117
fcnn,18,10,21.486637115478516
fcnn,18,11,20.414997100830078
fcnn,18,12,20.073013305664062
fcnn,18,13,19.799156188964844
fcnn,18,14,16.414175033569336
fcnn,18,15,17.15104866027832
fcnn,18,16,17.702381134033203
fcnn,18,17,17.530441284179688
fcnn,19,0,16.71749496459961
fcnn,19,1,16.10354232788086
fcnn,19,2,16.588817596435547
fcnn,19,3,19.412429809570312
fcnn,19,4,19.080875396728516
fcnn,19,5,17.85460662841797
fcnn,19,6,14.346567153930664
fcnn,19,7,16.642864227294922
fcnn,19,8,16.88988494873047
fcnn,19,9,19.51934051513672
fcnn,19,10,22.724843978881836
fcnn,19,11,18.394100189208984
fcnn,19,12,22.189266204833984
fcnn,19,13,21.392166137695312
fcnn,19,14,19.330726623535156
fcnn,19,15,15.498424530029297
fcnn,19,16,17.135908126831055
fcnn,19,17,17.084033966064453
fcnn,19,18,16.601137161254883
fcnn,20,0,22.063888549804688
fcnn,20,1,22.944530487060547
fcnn,20,2,20.003173828125
fcnn,20,3,22.4088191986084
fcnn,20,4,21.37718963623047
fcnn,20,5,20.499370574951172
fcnn,20,6,18.223011016845703
fcnn,20,7,19.929658889770508
fcnn,20,8,21.743547439575195
fcnn,20,9,21.675907135009766
fcnn,20,10,22.566734313964844
fcnn,20,11,23.722660064697266
fcnn,20,12,23.27214241027832
fcnn,20,13,23.001779556274414
fcnn,20,14,20.198116302490234
fcnn,20,15,18.722553253173828
fcnn,20,16,21.950927734375
fcnn,20,17,20.090747833251953
fcnn,20,18,21.290096282958984
fcnn,20,19,19.915626525878906
fcnn,21,0,19.729381561279297
fcnn,21,1,18.761438369750977
fcnn,21,2,19.851299285888672
fcnn,21,3,19.45207405090332
fcnn,21,4,19.184127807617188
fcnn,21,5,20.11392593383789
fcnn,21,6,15.34383773803711
fcnn,21,7,18.146595001220703
fcnn,21,8,18.227916717529297
fcnn,21,9,19.178409576416016
fcnn,21,10,21.26763153076172
fcnn,21,11,18.908803939819336
fcnn,21,12,21.576087951660156
fcnn,21,13,20.9985294342041
fcnn,21,14,18.575824737548828
fcnn,21,15,16.261993408203125
fcnn,21,16,17.996904373168945
fcnn,21,17,17.631256103515625
fcnn,21,18,17.880367279052734
fcnn,21,19,17.44057273864746
fcnn,21,20,22.00004768371582
fcnn,22,0,16.256393432617188
fcnn,22,1,18.003416061401367
fcnn,22,2,22.24334144592285
fcnn,22,3,18.85417938232422
fcnn,22,4,19.531444549560547
fcnn,22,5,22.35606575012207
fcnn,22,6,15.563579559326172
fcnn,22,7,17.13243865966797
fcnn,22,8,19.68094825744629
fcnn,22,9,20.56513214111328
fcnn,22,10,20.965789794921875
fcnn,22,11,16.57439613342285
fcnn,22,12,22.7949275970459
fcnn,22,13,21.344284057617188
fcnn,22,14,16.656723022460938
fcnn,22,15,16.178451538085938
fcnn,22,16,15.549676895141602
fcnn,22,17,18.653770446777344
fcnn,22,18,16.837535858154297
fcnn,22,19,16.204174041748047
fcnn,22,20,19.233509063720703
fcnn,22,21,19.5065975189209
fcnn,23,0,19.087711334228516
fcnn,23,1,20.955394744873047
fcnn,23,2,20.040964126586914
fcnn,23,3,21.127819061279297
fcnn,23,4,22.63063621520996
fcnn,23,5,21.324974060058594
fcnn,23,6,17.395538330078125
fcnn,23,7,19.706939697265625
fcnn,23,8,22.45261001586914
fcnn,23,9,24.108993530273438
fcnn,23,10,23.65566635131836
fcnn,23,11,20.37659454345703
fcnn,23,12,25.32088279724121
fcnn,23,13,24.81667709350586
fcnn,23,14,19.535053253173828
fcnn,23,15,18.3505916595459
fcnn,23,16,18.14594268798828
fcnn,23,17,21.01239776611328
fcnn,23,18,19.765480041503906
fcnn,23,19,19.116296768188477
fcnn,23,20,21.860280990600586
fcnn,23,21,19.269289016723633
fcnn,23,22,21.439247131347656
fcnn,24,0,18.771591186523438
fcnn,24,1,19.840667724609375
fcnn,24,2,19.644046783447266
fcnn,24,3,19.931774139404297
fcnn,24,4,21.139461517333984
fcnn,24,5,20.797733306884766
fcnn,24,6,16.920581817626953
fcnn,24,7,19.272781372070312
fcnn,24,8,19.272930145263672
fcnn,24,9,20.53757667541504
fcnn,24,10,22.990116119384766
fcnn,24,11,21.180824279785156
fcnn,24,12,23.40790557861328
fcnn,24,13,23.93894386291504
fcnn,24,14,21.306245803833008
fcnn,24,15,18.394969940185547
fcnn,24,16,20.926021575927734
fcnn,24,17,20.048381805419922
fcnn,24,18,18.01220703125
fcnn,24,19,21.55661964416504
fcnn,24,20,23.216636657714844
fcnn,24,21,19.70416259765625
fcnn,24,22,19.073711395263672
fcnn,24,23,22.242286682128906
fcnn,25,0,18.55272674560547
fcnn,25,1,19.166759490966797
fcnn,25,2,19.712116241455078
fcnn,25,3,18.49093246459961
fcnn,25,4,18.24985122680664
fcnn,25,5,21.79003143310547
fcnn,25,6,16.112672805786133
fcnn,25,7,15.412652015686035
fcnn,25,8,18.935562133789062
fcnn,25,9,18.90625762939453
fcnn,25,10,20.165109634399414
fcnn,25,11,19.288888931274414
fcnn,25,12,26.498987197875977
fcnn,25,13,21.959396362304688
fcnn,25,14,16.476417541503906
fcnn,25,15,15.069707870483398
fcnn,25,16,19.994674682617188
fcnn,25,17,16.271072387695312
fcnn,25,18,17.872446060180664
fcnn,25,19,17.931995391845703
fcnn,25,20,21.89188003540039
fcnn,25,21,19.8582763671875
fcnn,25,22,19.815507888793945
fcnn,25,23,19.29604721069336
fcnn,25,24,19.179500579833984
fcnn,26,0,17.69164276123047
fcnn,26,1,17.7547550201416
fcnn,26,2,16.01864242553711
fcnn,26,3,16.7567138671875
fcnn,26,4,17.891965866088867
fcnn,26,5,17.14102554321289
fcnn,26,6,14.157395362854004
fcnn,26,7,16.224098205566406
fcnn,26,8,16.655029296875
fcnn,26,9,19.11981201171875
fcnn,26,10,20.08034896850586
fcnn,26,11,20.194948196411133
fcnn,26,12,20.796031951904297
fcnn,26,13,20.481369018554688
fcnn,26,14,17.4318904876709
fcnn,26,15,15.704833030700684
fcnn,26,16,18.722972869873047
fcnn,26,17,16.557544708251953
fcnn,26,18,17.48301887512207
fcnn,26,19,17.138118743896484
fcnn,26,20,20.5750675201416
fcnn,26,21,17.890167236328125
fcnn,26,22,15.378472328186035
fcnn,26,23,18.614627838134766
fcnn,26,24,19.982452392578125
fcnn,26,25,17.82140350341797
fcnn,27,0,17.781539916992188
fcnn,27,1,17.535152435302734
fcnn,27,2,20.111949920654297
fcnn,27,3,19.895462036132812
fcnn,27,4,18.31151580810547
fcnn,27,5,19.654937744140625
fcnn,27,6,16.097217559814453
fcnn,27,7,17.130252838134766
fcnn,27,8,18.155250549316406
fcnn,27,9,17.250995635986328
fcnn,27,10,21.861099243164062
fcnn,27,11,19.23503303527832
fcnn,27,12,21.279422760009766
fcnn,27,13,21.079288482666016
fcnn,27,14,19.478357315063477
fcnn,27,15,17.992473602294922
fcnn,27,16,18.891437530517578
fcnn,27,17,17.039493560791016
fcnn,27,18,16.92340850830078
fcnn,27,19,18.02545928955078
fcnn,27,20,21.307619094848633
fcnn,27,21,21.455839157104492
fcnn,27,22,19.594406127929688
fcnn,27,23,18.241674423217773
fcnn,27,24,20.938068389892578
fcnn,27,25,21.284008026123047
fcnn,27,26,17.243457794189453
fcnn,28,0,17.056766510009766
fcnn,28,1,16.99478530883789
fcnn,28,2,15.917755126953125
fcnn,28,3,18.08037567138672
fcnn,28,4,17.52286148071289
fcnn,28,5,16.788219451904297
fcnn,28,6,15.40369987487793
fcnn,28,7,16.48632049560547
fcnn,28,8,18.231292724609375
fcnn,28,9,18.766935348510742
fcnn,28,10,18.016902923583984
fcnn,28,11,17.53460693359375
fcnn,28,12,19.18695831298828
fcnn,28,13,18.440269470214844
fcnn,28,14,15.005945205688477
fcnn,28,15,14.837778091430664
fcnn,28,16,15.750143051147461
fcnn,28,17,16.14071273803711
fcnn,28,18,16.6827335357666
fcnn,28,19,14.75123119354248
fcnn,28,20,19.444299697875977
fcnn,28,21,16.171340942382812
fcnn,28,22,15.948480606079102
fcnn,28,23,18.32876205444336
fcnn,28,24,17.431106567382812
fcnn,28,25,16.935514450073242
fcnn,28,26,15.792061805725098
fcnn,28,27,16.268428802490234
fcnn,29,0,17.501731872558594
fcnn,29,1,16.386322021484375
fcnn,29,2,13.979119300842285
fcnn,29,3,15.825278282165527
fcnn,29,4,15.798765182495117
fcnn,29,5,14.391545295715332
fcnn,29,6,13.876131057739258
fcnn,29,7,14.450592041015625
fcnn,29,8,16.146760940551758
fcnn,29,9,16.474586486816406
fcnn,29,10,15.97368335723877
fcnn,29,11,17.038196563720703
fcnn,29,12,16.989898681640625
fcnn,29,13,16.504024505615234
fcnn,29,14,14.086724281311035
fcnn,29,15,13.794703483581543
fcnn,29,16,15.796430587768555
fcnn,29,17,13.940990447998047
fcnn,29,18,16.132648468017578
fcnn,29,19,13.72326374053955
fcnn,29,20,18.736085891723633
fcnn,29,21,16.427642822265625
fcnn,29,22,13.67490005493164
fcnn,29,23,15.984729766845703
fcnn,29,24,16.104652404785156
fcnn,29,25,15.211400032043457
fcnn,29,26,15.516014099121094
fcnn,29,27,15.155067443847656
fcnn,29,28,14.625448226928711
fcnn,30,0,18.58942413330078
fcnn,30,1,19.32758331298828
