label,i,j,K_ij
attn,1,0,0.5427136421203613
attn,2,0,0.5331456661224365
attn,2,1,0.5333405137062073
attn,3,0,0.5672551989555359
attn,3,1,0.5632905960083008
attn,3,2,0.5514087677001953
attn,4,0,0.5536624193191528
attn,4,1,0.5412618517875671
attn,4,2,0.5494555830955505
attn,4,3,0.568651556968689
attn,5,0,0.525549590587616
attn,5,1,0.5319756865501404
attn,5,2,0.5174518823623657
attn,5,3,0.5478177070617676
attn,5,4,0.5368524789810181
attn,6,0,0.49252548813819885
attn,6,1,0.4939289689064026
attn,6,2,0.4805458188056946
attn,6,3,0.5106207728385925
attn,6,4,0.5036361217498779
attn,6,5,0.4868340790271759
attn,7,0,0.502095103263855
attn,7,1,0.508505642414093
attn,7,2,0.4981216490268707
attn,7,3,0.5255103707313538
attn,7,4,0.5183632373809814
attn,7,5,0.4990815818309784
attn,7,6,0.4678140878677368
attn,8,0,0.5128642320632935
attn,8,1,0.512317419052124
attn,8,2,0.5005280375480652
attn,8,3,0.5335693955421448
attn,8,4,0.5152902603149414
attn,8,5,0.5029866695404053
attn,8,6,0.4678734838962555
attn,8,7,0.4703195095062256
attn,9,0,0.4650729298591614
attn,9,1,0.4671093821525574
attn,9,2,0.4662821292877197
attn,9,3,0.48993152379989624
attn,9,4,0.48098790645599365
attn,9,5,0.4689057767391205
attn,9,6,0.42324745655059814
attn,9,7,0.4510209560394287
attn,9,8,0.43419742584228516
attn,10,0,0.5353413224220276
attn,10,1,0.5294274687767029
attn,10,2,0.5225441455841064
attn,10,3,0.558395504951477
attn,10,4,0.5540447235107422
attn,10,5,0.5300071835517883
attn,10,6,0.49098142981529236
attn,10,7,0.4980425238609314
attn,10,8,0.5098196268081665
attn,10,9,0.45747917890548706
attn,11,0,0.5183676481246948
attn,11,1,0.5021794438362122
attn,11,2,0.4989047050476074
attn,11,3,0.5284538865089417
attn,11,4,0.5285987257957458
attn,11,5,0.4970521926879883
attn,11,6,0.4610009491443634
attn,11,7,0.4762789309024811
attn,11,8,0.47587788105010986
attn,11,9,0.4412400722503662
attn,11,10,0.5018280744552612
attn,12,0,0.5396870374679565
attn,12,1,0.5297797918319702
attn,12,2,0.5237663984298706
attn,12,3,0.558506965637207
attn,12,4,0.5500308275222778
attn,12,5,0.5238506197929382
attn,12,6,0.4732134938240051
attn,12,7,0.5063673257827759
attn,12,8,0.510041356086731
attn,12,9,0.4633989930152893
attn,12,10,0.526955246925354
attn,12,11,0.5132185220718384
attn,13,0,0.5149638056755066
attn,13,1,0.5199679732322693
attn,13,2,0.5130321979522705
attn,13,3,0.5400245785713196
attn,13,4,0.5304498076438904
attn,13,5,0.5181854963302612
attn,13,6,0.4752679467201233
attn,13,7,0.4846431314945221
attn,13,8,0.4883730709552765
attn,13,9,0.4588674306869507
attn,13,10,0.5142520666122437
attn,13,11,0.49201256036758423
attn,13,12,0.5097200274467468
attn,14,0,0.527137815952301
attn,14,1,0.5156899690628052
attn,14,2,0.5126105546951294
attn,14,3,0.5312542915344238
attn,14,4,0.541882336139679
attn,14,5,0.5085873603820801
attn,14,6,0.48188015818595886
attn,14,7,0.49558091163635254
attn,14,8,0.4962952136993408
attn,14,9,0.450772762298584
attn,14,10,0.5281529426574707
attn,14,11,0.5084361433982849
attn,14,12,0.5254766941070557
attn,14,13,0.5067404508590698
attn,15,0,0.4836961627006531
attn,15,1,0.48349982500076294
attn,15,2,0.46908605098724365
attn,15,3,0.495621919631958
attn,15,4,0.4947972893714905
attn,15,5,0.4805034101009369
attn,15,6,0.444869726896286
attn,15,7,0.4581947326660156
attn,15,8,0.4559849500656128
attn,15,9,0.42042800784111023
attn,15,10,0.47832879424095154
attn,15,11,0.4580995440483093
attn,15,12,0.4820607006549835
attn,15,13,0.4622792899608612
attn,15,14,0.4773542582988739
attn,16,0,0.5223824381828308
attn,16,1,0.5078556537628174
attn,16,2,0.5116026401519775
attn,16,3,0.5402563810348511
attn,16,4,0.5367981195449829
attn,16,5,0.506313145160675
attn,16,6,0.47363030910491943
attn,16,7,0.48949259519577026
attn,16,8,0.48940858244895935
attn,16,9,0.43459242582321167
attn,16,10,0.519465982913971
attn,16,11,0.49047189950942993
attn,16,12,0.5129425525665283
attn,16,13,0.4980223476886749
attn,16,14,0.515275239944458
attn,16,15,0.4642929434776306
attn,17,0,0.4987272024154663
attn,17,1,0.4927150309085846
attn,17,2,0.48636263608932495
attn,17,3,0.5149593353271484
attn,17,4,0.50832599401474
attn,17,5,0.4866522550582886
attn,17,6,0.4577503204345703
attn,17,7,0.46645283699035645
attn,17,8,0.4716514050960541
attn,17,9,0.428277850151062
attn,17,10,0.4959956407546997
attn,17,11,0.4721429944038391
attn,17,12,0.4851861894130707
