label,i,j,K_ij
fcnn,1,0,52.84132385253906
fcnn,2,0,48.81474304199219
fcnn,2,1,47.74761962890625
fcnn,3,0,56.844329833984375
fcnn,3,1,57.425071716308594
fcnn,3,2,51.98448181152344
fcnn,4,0,53.561988830566406
fcnn,4,1,51.61052703857422
fcnn,4,2,49.071495056152344
fcnn,4,3,56.501285552978516
fcnn,5,0,48.772926330566406
fcnn,5,1,48.3015251159668
fcnn,5,2,45.01765441894531
fcnn,5,3,51.52546691894531
fcnn,5,4,51.62608337402344
fcnn,6,0,44.082923889160156
fcnn,6,1,43.26087951660156
fcnn,6,2,42.09518051147461
fcnn,6,3,47.03913879394531
fcnn,6,4,44.284950256347656
fcnn,6,5,43.93355941772461
fcnn,7,0,43.38335418701172
fcnn,7,1,42.934749603271484
fcnn,7,2,42.18589401245117
fcnn,7,3,46.45033264160156
fcnn,7,4,46.49951934814453
fcnn,7,5,44.29734802246094
fcnn,7,6,38.865596771240234
fcnn,8,0,48.27900695800781
fcnn,8,1,47.654659271240234
fcnn,8,2,43.78572082519531
fcnn,8,3,52.13562774658203
fcnn,8,4,47.6844367980957
fcnn,8,5,46.68800354003906
fcnn,8,6,41.756412506103516
fcnn,8,7,37.963436126708984
fcnn,9,0,43.72310256958008
fcnn,9,1,42.12907028198242
fcnn,9,2,42.800025939941406
fcnn,9,3,46.457603454589844
fcnn,9,4,48.10625457763672
fcnn,9,5,49.51049041748047
fcnn,9,6,40.43889236450195
fcnn,9,7,42.55906677246094
fcnn,9,8,41.1176872253418
fcnn,10,0,60.28484344482422
fcnn,10,1,52.347503662109375
fcnn,10,2,51.56216812133789
fcnn,10,3,56.49851989746094
fcnn,10,4,55.20600509643555
fcnn,10,5,51.031394958496094
fcnn,10,6,46.38170623779297
fcnn,10,7,48.56229019165039
fcnn,10,8,46.96501922607422
fcnn,10,9,45.8341064453125
fcnn,11,0,42.41746139526367
fcnn,11,1,39.71856689453125
fcnn,11,2,40.71697998046875
fcnn,11,3,43.8517951965332
fcnn,11,4,44.72216033935547
fcnn,11,5,41.734371185302734
fcnn,11,6,33.7219352722168
fcnn,11,7,36.78431701660156
fcnn,11,8,38.86248016357422
fcnn,11,9,40.582786560058594
fcnn,11,10,42.71647262573242
fcnn,12,0,49.34413528442383
fcnn,12,1,47.98075866699219
fcnn,12,2,45.351806640625
fcnn,12,3,51.533775329589844
fcnn,12,4,47.970924377441406
fcnn,12,5,49.44062805175781
fcnn,12,6,41.725162506103516
fcnn,12,7,41.72752380371094
fcnn,12,8,45.063392639160156
fcnn,12,9,43.301109313964844
fcnn,12,10,49.25031661987305
fcnn,12,11,37.49803161621094
fcnn,13,0,49.210853576660156
fcnn,13,1,46.09687042236328
fcnn,13,2,44.78162384033203
fcnn,13,3,49.438087463378906
fcnn,13,4,53.64984130859375
fcnn,13,5,49.73638153076172
fcnn,13,6,40.01767349243164
fcnn,13,7,48.016624450683594
fcnn,13,8,41.31614685058594
fcnn,13,9,44.7735481262207
fcnn,13,10,52.53129577636719
fcnn,13,11,41.787227630615234
fcnn,13,12,45.125
fcnn,14,0,47.657958984375
fcnn,14,1,38.47383117675781
fcnn,14,2,36.51758575439453
fcnn,14,3,41.27787780761719
fcnn,14,4,44.51952362060547
fcnn,14,5,41.6377067565918
fcnn,14,6,33.783477783203125
fcnn,14,7,34.29901885986328
fcnn,14,8,38.41181564331055
fcnn,14,9,39.04041290283203
fcnn,14,10,47.23974609375
fcnn,14,11,39.10633850097656
fcnn,14,12,37.10853576660156
fcnn,14,13,41.1959114074707
fcnn,15,0,42.95396423339844
fcnn,15,1,39.986690521240234
fcnn,15,2,39.39242172241211
fcnn,15,3,43.47222137451172
fcnn,15,4,46.16993713378906
fcnn,15,5,46.29597091674805
fcnn,15,6,38.28107452392578
fcnn,15,7,39.26908874511719
fcnn,15,8,41.43956756591797
fcnn,15,9,42.403411865234375
fcnn,15,10,45.479068756103516
fcnn,15,11,39.513572692871094
fcnn,15,12,40.385154724121094
fcnn,15,13,45.16754150390625
fcnn,15,14,38.565757751464844
fcnn,16,0,42.50014877319336
fcnn,16,1,40.519432067871094
fcnn,16,2,42.33386993408203
fcnn,16,3,44.859222412109375
fcnn,16,4,44.61284637451172
fcnn,16,5,42.111854553222656
fcnn,16,6,37.63123321533203
fcnn,16,7,35.09563446044922
fcnn,16,8,41.29642868041992
fcnn,16,9,39.77220153808594
fcnn,16,10,45.497108459472656
fcnn,16,11,38.836891174316406
fcnn,16,12,40.37825012207031
fcnn,16,13,40.83667755126953
fcnn,16,14,37.74600601196289
fcnn,16,15,40.03470230102539
fcnn,17,0,43.545982360839844
fcnn,17,1,42.5727424621582
fcnn,17,2,42.572750091552734
fcnn,17,3,44.94209289550781
fcnn,17,4,45.1388053894043
fcnn,17,5,41.90479278564453
fcnn,17,6,39.33949279785156
fcnn,17,7,38.388145446777344
fcnn,17,8,37.90119552612305
fcnn,17,9,36.968711853027344
fcnn,17,10,48.62321472167969
fcnn,17,11,35.67723083496094
fcnn,17,12,41.49445724487305
fcnn,17,13,44.556007385253906
fcnn,17,14,35.098777770996094
fcnn,17,15,38.573699951171875
fcnn,17,16,39.494720458984375
fcnn,18,0,48.081504821777344
fcnn,18,1,46.456722259521484
fcnn,18,2,46.76300811767578
fcnn,18,3,51.023033142089844
fcnn,18,4,49.361507415771484
fcnn,18,5,45.94463348388672
fcnn,18,6,40.25460433959961
fcnn,18,7,42.93015670776367
fcnn,18,8,42.666072845458984
fcnn,18,9,40.85790252685547
fcnn,18,10,51.95720291137695
fcnn,18,11,39.935791015625
fcnn,18,12,44.89892578125
fcnn,18,13,47.78681182861328
fcnn,18,14,37.08221435546875
fcnn,18,15,42.90611267089844
fcnn,18,16,40.93778991699219
fcnn,18,17,42.47705841064453
fcnn,19,0,48.51042938232422
fcnn,19,1,47.10813903808594
fcnn,19,2,43.84431076049805
fcnn,19,3,51.533721923828125
fcnn,19,4,51.93731689453125
fcnn,19,5,51.5099983215332
fcnn,19,6,41.429603576660156
fcnn,19,7,44.12236785888672
fcnn,19,8,45.989803314208984
fcnn,19,9,47.0073356628418
fcnn,19,10,52.58243942260742
fcnn,19,11,42.74736785888672
fcnn,19,12,45.863426208496094
