label,i,j,K_ij
attn,1,0,0.42203450202941895
attn,2,0,0.42693084478378296
attn,2,1,0.42457833886146545
attn,3,0,0.4572871923446655
attn,3,1,0.44546079635620117
attn,3,2,0.45608198642730713
attn,4,0,0.4323948621749878
attn,4,1,0.4238041639328003
attn,4,2,0.43521690368652344
attn,4,3,0.4555703103542328
attn,5,0,0.4244600534439087
attn,5,1,0.4170556664466858
attn,5,2,0.422398179769516
attn,5,3,0.45068359375
attn,5,4,0.430399626493454
attn,6,0,0.3870365619659424
attn,6,1,0.38274529576301575
attn,6,2,0.38456904888153076
attn,6,3,0.4151230454444885
attn,6,4,0.3915623128414154
attn,6,5,0.38969171047210693
attn,7,0,0.4001163840293884
attn,7,1,0.3997988700866699
attn,7,2,0.40703248977661133
attn,7,3,0.4345555305480957
attn,7,4,0.4070572257041931
attn,7,5,0.4019390940666199
attn,7,6,0.36815351247787476
attn,8,0,0.3996020555496216
attn,8,1,0.395832359790802
attn,8,2,0.4027153551578522
attn,8,3,0.42823266983032227
attn,8,4,0.4030565619468689
attn,8,5,0.4038607180118561
attn,8,6,0.3648030757904053
attn,8,7,0.37800562381744385
attn,9,0,0.3811365067958832
attn,9,1,0.3735739290714264
attn,9,2,0.38619422912597656
attn,9,3,0.410642147064209
attn,9,4,0.38829100131988525
attn,9,5,0.38508984446525574
attn,9,6,0.3482741117477417
attn,9,7,0.3724834620952606
attn,9,8,0.3559000492095947
attn,10,0,0.42988455295562744
attn,10,1,0.42188888788223267
attn,10,2,0.4264957308769226
attn,10,3,0.4588654637336731
attn,10,4,0.4369286596775055
attn,10,5,0.43166327476501465
attn,10,6,0.39699655771255493
attn,10,7,0.40878745913505554
attn,10,8,0.4077068865299225
attn,10,9,0.3833947479724884
attn,11,0,0.3942375183105469
attn,11,1,0.38647061586380005
attn,11,2,0.3932499587535858
attn,11,3,0.4158360958099365
attn,11,4,0.3956684470176697
attn,11,5,0.3843728303909302
attn,11,6,0.3504350185394287
attn,11,7,0.3676450848579407
attn,11,8,0.3688231110572815
attn,11,9,0.3526211082935333
attn,11,10,0.39178135991096497
attn,12,0,0.4232182204723358
attn,12,1,0.41820552945137024
attn,12,2,0.4263446033000946
attn,12,3,0.4530636668205261
attn,12,4,0.43006113171577454
attn,12,5,0.42528069019317627
attn,12,6,0.38230466842651367
attn,12,7,0.41173797845840454
attn,12,8,0.40801477432250977
attn,12,9,0.38304322957992554
attn,12,10,0.42749619483947754
attn,12,11,0.3971674144268036
attn,13,0,0.42413896322250366
attn,13,1,0.4220634698867798
attn,13,2,0.43256136775016785
attn,13,3,0.4547717571258545
attn,13,4,0.43101999163627625
attn,13,5,0.42933329939842224
attn,13,6,0.39207911491394043
attn,13,7,0.40918487310409546
attn,13,8,0.40418508648872375
attn,13,9,0.38689959049224854
attn,13,10,0.4328944683074951
attn,13,11,0.39185023307800293
attn,13,12,0.42394208908081055
attn,14,0,0.40739768743515015
attn,14,1,0.40122896432876587
attn,14,2,0.4037778377532959
attn,14,3,0.4304053485393524
attn,14,4,0.41507333517074585
attn,14,5,0.408059686422348
attn,14,6,0.37588784098625183
attn,14,7,0.39182543754577637
attn,14,8,0.38446271419525146
attn,14,9,0.3708222508430481
attn,14,10,0.416395902633667
attn,14,11,0.3783426880836487
attn,14,12,0.41335493326187134
attn,14,13,0.41850876808166504
attn,15,0,0.388863205909729
attn,15,1,0.37763434648513794
attn,15,2,0.3847646117210388
attn,15,3,0.40733760595321655
attn,15,4,0.3926427364349365
attn,15,5,0.3896968364715576
attn,15,6,0.3512512147426605
attn,15,7,0.37084218859672546
attn,15,8,0.36080697178840637
attn,15,9,0.3460978865623474
attn,15,10,0.3917948603630066
attn,15,11,0.348798543214798
attn,15,12,0.3861483931541443
attn,15,13,0.38569533824920654
attn,15,14,0.3785771131515503
attn,16,0,0.41467320919036865
attn,16,1,0.404389888048172
attn,16,2,0.4153573215007782
attn,16,3,0.4397057294845581
attn,16,4,0.41970551013946533
attn,16,5,0.4110316038131714
attn,16,6,0.37793055176734924
attn,16,7,0.3944452106952667
attn,16,8,0.3897208869457245
attn,16,9,0.3613011837005615
attn,16,10,0.41760990023612976
attn,16,11,0.37874704599380493
attn,16,12,0.4119550883769989
attn,16,13,0.41453731060028076
attn,16,14,0.3995082378387451
attn,16,15,0.37912842631340027
attn,17,0,0.3834351897239685
attn,17,1,0.37481778860092163
