label,i,j,K_ij
attn,1,0,0.9474538564682007
attn,2,0,0.9236506223678589
attn,2,1,0.9222242832183838
attn,3,0,1.02213454246521
attn,3,1,1.0125343799591064
attn,3,2,0.9938342571258545
attn,4,0,0.9432498812675476
attn,4,1,0.9468439817428589
attn,4,2,0.9373762607574463
attn,4,3,1.0238522291183472
attn,5,0,0.9043130874633789
attn,5,1,0.9050211906433105
attn,5,2,0.8874475955963135
attn,5,3,0.9643813371658325
attn,5,4,0.9105569124221802
attn,6,0,0.8382769227027893
attn,6,1,0.8484992980957031
attn,6,2,0.8179459571838379
attn,6,3,0.9130499362945557
attn,6,4,0.8377888202667236
attn,6,5,0.8059325218200684
attn,7,0,0.8751822710037231
attn,7,1,0.8850269317626953
attn,7,2,0.8559367060661316
attn,7,3,0.9543197154998779
attn,7,4,0.8977059125900269
attn,7,5,0.8478063344955444
attn,7,6,0.7815343737602234
attn,8,0,0.931946873664856
attn,8,1,0.92405104637146
attn,8,2,0.9045872688293457
attn,8,3,0.9997774362564087
attn,8,4,0.9322617053985596
attn,8,5,0.8806407451629639
attn,8,6,0.8231140971183777
attn,8,7,0.8579230904579163
attn,9,0,0.8245246410369873
attn,9,1,0.8280062079429626
attn,9,2,0.8230800628662109
attn,9,3,0.9000321626663208
attn,9,4,0.8529021739959717
attn,9,5,0.8040937185287476
attn,9,6,0.7407954335212708
attn,9,7,0.7949113249778748
attn,9,8,0.8111772537231445
attn,10,0,0.9449282884597778
attn,10,1,0.9431806206703186
attn,10,2,0.9238770008087158
attn,10,3,1.017127275466919
attn,10,4,0.9652650952339172
attn,10,5,0.9117568731307983
attn,10,6,0.8420671224594116
attn,10,7,0.8924065828323364
attn,10,8,0.9274533987045288
attn,10,9,0.8370630145072937
attn,11,0,0.9067040681838989
attn,11,1,0.9005438089370728
attn,11,2,0.8781595230102539
attn,11,3,0.9713176488876343
attn,11,4,0.9059106707572937
attn,11,5,0.8479135036468506
attn,11,6,0.7894972562789917
attn,11,7,0.840328574180603
attn,11,8,0.8841298222541809
attn,11,9,0.7949244976043701
attn,11,10,0.8920730352401733
attn,12,0,0.9543075561523438
attn,12,1,0.9554356336593628
attn,12,2,0.9332277178764343
attn,12,3,1.0324733257293701
attn,12,4,0.9721361994743347
attn,12,5,0.9246430397033691
attn,12,6,0.8326265811920166
attn,12,7,0.9193605184555054
attn,12,8,0.951144814491272
attn,12,9,0.8492812514305115
attn,12,10,0.9588931798934937
attn,12,11,0.92148756980896
attn,13,0,0.9421058893203735
attn,13,1,0.9376803636550903
attn,13,2,0.9157516956329346
attn,13,3,1.0133962631225586
attn,13,4,0.9386672377586365
attn,13,5,0.9150798320770264
attn,13,6,0.8351308107376099
attn,13,7,0.8879503011703491
attn,13,8,0.9051698446273804
attn,13,9,0.8360632061958313
attn,13,10,0.9412473440170288
attn,13,11,0.8946624994277954
attn,13,12,0.9532856941223145
attn,14,0,0.919049859046936
attn,14,1,0.9178659915924072
attn,14,2,0.8820478916168213
attn,14,3,0.9768763184547424
attn,14,4,0.9379417896270752
attn,14,5,0.8706469535827637
attn,14,6,0.8134655952453613
attn,14,7,0.8688603639602661
attn,14,8,0.9138753414154053
attn,14,9,0.8246523141860962
attn,14,10,0.9223911762237549
attn,14,11,0.8891556262969971
attn,14,12,0.9458693265914917
attn,14,13,0.927736759185791
attn,15,0,0.8398579955101013
attn,15,1,0.8396365642547607
attn,15,2,0.8224774599075317
attn,15,3,0.8978523015975952
attn,15,4,0.8580552935600281
attn,15,5,0.8139157295227051
attn,15,6,0.7633556127548218
attn,15,7,0.8073207139968872
attn,15,8,0.8325775861740112
attn,15,9,0.7549401521682739
attn,15,10,0.8510642051696777
attn,15,11,0.8100814819335938
attn,15,12,0.8700663447380066
attn,15,13,0.842985987663269
attn,15,14,0.8351784944534302
attn,16,0,0.9107761383056641
attn,16,1,0.9139655828475952
attn,16,2,0.9041408896446228
attn,16,3,0.9858483076095581
attn,16,4,0.9396541714668274
attn,16,5,0.8743839859962463
attn,16,6,0.814001202583313
attn,16,7,0.8670284748077393
attn,16,8,0.9014012217521667
attn,16,9,0.8048821687698364
attn,16,10,0.9300271272659302
attn,16,11,0.8814598321914673
attn,16,12,0.9410450458526611
attn,16,13,0.907610297203064
attn,16,14,0.9055323600769043
attn,16,15,0.8416715860366821
attn,17,0,0.853097677230835
attn,17,1,0.8408731818199158
attn,17,2,0.8303587436676025
attn,17,3,0.9240784645080566
attn,17,4,0.8660915493965149
attn,17,5,0.8014562129974365
attn,17,6,0.762050449848175
attn,17,7,0.796763002872467
attn,17,8,0.8308112621307373
attn,17,9,0.7478947639465332
attn,17,10,0.8651739358901978
attn,17,11,0.808442234992981
attn,17,12,0.8670199513435364
attn,17,13,0.844982385635376
attn,17,14,0.8320935964584351
attn,17,15,0.7708072066307068
attn,17,16,0.8381341099739075
attn,18,0,0.9044088125228882
attn,18,1,0.8968369960784912
attn,18,2,0.8967235088348389
attn,18,3,0.9759190082550049
attn,18,4,0.91473388671875
attn,18,5,0.8633566498756409
attn,18,6,0.8007427453994751
attn,18,7,0.856757402420044
attn,18,8,0.8776882886886597
attn,18,9,0.8085280060768127
attn,18,10,0.9148099422454834
attn,18,11,0.863693118095398
attn,18,12,0.9234083294868469
attn,18,13,0.9061774611473083
attn,18,14,0.895308792591095
attn,18,15,0.8247520923614502
attn,18,16,0.8985430598258972
attn,18,17,0.8204692602157593
attn,19,0,0.8782687187194824
attn,19,1,0.8570582270622253
attn,19,2,0.8341600298881531
attn,19,3,0.9418700933456421
attn,19,4,0.8908733129501343
attn,19,5,0.8292079567909241
attn,19,6,0.7747066617012024
attn,19,7,0.8259789943695068
attn,19,8,0.8654295206069946
attn,19,9,0.7607843279838562
attn,19,10,0.88043612241745
attn,19,11,0.8137264251708984
attn,19,12,0.8745565414428711
attn,19,13,0.8674570322036743
attn,19,14,0.8520557880401611
attn,19,15,0.7770397663116455
attn,19,16,0.8334336280822754
attn,19,17,0.794731855392456
attn,19,18,0.8248859643936157
attn,20,0,0.9919981956481934
attn,20,1,1.0032697916030884
attn,20,2,0.9706774353981018
attn,20,3,1.081848382949829
attn,20,4,1.0094867944717407
attn,20,5,0.9373310804367065
attn,20,6,0.8846345543861389
attn,20,7,0.940622866153717
attn,20,8,0.9817466735839844
attn,20,9,0.8823596239089966
attn,20,10,1.0012943744659424
attn,20,11,0.947426438331604
attn,20,12,1.0106557607650757
attn,20,13,0.9883524179458618
