label,i,j,K_ij
attn,1,0,0.9465392827987671
attn,2,0,0.9175161719322205
attn,2,1,0.8962540626525879
attn,3,0,1.0179568529129028
attn,3,1,0.978557288646698
attn,3,2,0.9453760385513306
attn,4,0,0.9269387722015381
attn,4,1,0.9056768417358398
attn,4,2,0.8987574577331543
attn,4,3,0.9664421677589417
attn,5,0,0.885796070098877
attn,5,1,0.8703295588493347
attn,5,2,0.8416808843612671
attn,5,3,0.9181562066078186
attn,5,4,0.8622762560844421
attn,6,0,0.8494021892547607
attn,6,1,0.8371638059616089
attn,6,2,0.8095887899398804
attn,6,3,0.9017077684402466
attn,6,4,0.8202086091041565
attn,6,5,0.7929357290267944
attn,7,0,0.8587043881416321
attn,7,1,0.8456841707229614
attn,7,2,0.8226498961448669
attn,7,3,0.8999816179275513
attn,7,4,0.8424339294433594
attn,7,5,0.8015091419219971
attn,7,6,0.7686374187469482
attn,8,0,0.925548791885376
attn,8,1,0.8966786861419678
attn,8,2,0.8766169548034668
attn,8,3,0.9637576937675476
attn,8,4,0.8881368041038513
attn,8,5,0.8499127626419067
attn,8,6,0.8127080202102661
attn,8,7,0.8113993406295776
attn,9,0,0.8607970476150513
attn,9,1,0.8428982496261597
attn,9,2,0.8351773619651794
attn,9,3,0.9015023112297058
attn,9,4,0.843712568283081
attn,9,5,0.8044649958610535
attn,9,6,0.7704242467880249
attn,9,7,0.7981571555137634
attn,9,8,0.8207111358642578
attn,10,0,0.9399168491363525
attn,10,1,0.9145549535751343
attn,10,2,0.8781829476356506
attn,10,3,0.9861553907394409
attn,10,4,0.9106379747390747
attn,10,5,0.8684924840927124
attn,10,6,0.8396432399749756
attn,10,7,0.839259147644043
attn,10,8,0.9008030891418457
attn,10,9,0.8289340734481812
attn,11,0,0.9076749086380005
attn,11,1,0.8654781579971313
attn,11,2,0.8510450124740601
attn,11,3,0.9384478330612183
attn,11,4,0.8631466627120972
attn,11,5,0.8020250201225281
attn,11,6,0.7873989343643188
attn,11,7,0.7916247248649597
attn,11,8,0.8618786334991455
attn,11,9,0.7977380156517029
attn,11,10,0.8663473129272461
attn,12,0,0.9558891654014587
attn,12,1,0.924575924873352
attn,12,2,0.8929543495178223
attn,12,3,0.982843279838562
attn,12,4,0.9144819378852844
attn,12,5,0.8796963691711426
attn,12,6,0.8297327756881714
attn,12,7,0.8657519817352295
attn,12,8,0.9152418375015259
attn,12,9,0.8473266363143921
attn,12,10,0.9217792749404907
attn,12,11,0.8851218223571777
attn,13,0,0.8936355113983154
attn,13,1,0.875629186630249
attn,13,2,0.870280385017395
attn,13,3,0.9373522400856018
attn,13,4,0.8798508644104004
attn,13,5,0.8345064520835876
attn,13,6,0.8006604313850403
attn,13,7,0.8168870210647583
