label,i,j,K_ij
fcnn,1,0,123.06957244873047
fcnn,2,0,116.75794982910156
fcnn,2,1,112.96417236328125
fcnn,3,0,116.71548461914062
fcnn,3,1,115.5398941040039
fcnn,3,2,106.81634521484375
fcnn,4,0,112.23265075683594
fcnn,4,1,106.43359375
fcnn,4,2,118.54618835449219
fcnn,4,3,106.3138427734375
fcnn,5,0,116.81442260742188
fcnn,5,1,112.686279296875
fcnn,5,2,107.50359344482422
fcnn,5,3,109.44619750976562
fcnn,5,4,115.67357635498047
fcnn,6,0,107.08740234375
fcnn,6,1,96.74995422363281
fcnn,6,2,96.86051940917969
fcnn,6,3,94.12272644042969
fcnn,6,4,93.7120132446289
fcnn,6,5,95.61685180664062
fcnn,7,0,101.202392578125
fcnn,7,1,103.04196166992188
fcnn,7,2,105.7893295288086
fcnn,7,3,98.74427795410156
fcnn,7,4,104.92903137207031
fcnn,7,5,103.4969253540039
fcnn,7,6,85.3281021118164
fcnn,8,0,122.07087707519531
fcnn,8,1,113.86714172363281
fcnn,8,2,108.54944610595703
fcnn,8,3,110.05375671386719
fcnn,8,4,112.73268127441406
fcnn,8,5,116.77393341064453
fcnn,8,6,100.15084838867188
fcnn,8,7,100.06996154785156
fcnn,9,0,96.36149597167969
fcnn,9,1,100.92362213134766
fcnn,9,2,104.58319854736328
fcnn,9,3,93.5904541015625
fcnn,9,4,97.29579162597656
fcnn,9,5,93.43380737304688
fcnn,9,6,83.39610290527344
fcnn,9,7,94.74324035644531
fcnn,9,8,91.17188262939453
fcnn,10,0,115.3233413696289
fcnn,10,1,107.20594024658203
fcnn,10,2,100.25636291503906
fcnn,10,3,98.22622680664062
fcnn,10,4,99.56218719482422
fcnn,10,5,101.53237915039062
fcnn,10,6,95.43954467773438
fcnn,10,7,94.46150970458984
fcnn,10,8,108.992919921875
fcnn,10,9,87.91939544677734
fcnn,11,0,107.12126159667969
fcnn,11,1,95.37483978271484
fcnn,11,2,100.561767578125
fcnn,11,3,90.08911895751953
fcnn,11,4,94.50106811523438
fcnn,11,5,90.62307739257812
fcnn,11,6,85.84645080566406
fcnn,11,7,84.46359252929688
fcnn,11,8,90.24225616455078
fcnn,11,9,83.69873046875
fcnn,11,10,93.62699890136719
fcnn,12,0,123.73794555664062
fcnn,12,1,119.88673400878906
fcnn,12,2,120.64629364013672
fcnn,12,3,119.77603149414062
fcnn,12,4,121.70707702636719
fcnn,12,5,121.22604370117188
fcnn,12,6,96.05191040039062
fcnn,12,7,111.263671875
fcnn,12,8,123.59214782714844
fcnn,12,9,98.63667297363281
fcnn,12,10,104.87263488769531
fcnn,12,11,96.81442260742188
fcnn,13,0,104.69866943359375
fcnn,13,1,111.17797088623047
fcnn,13,2,104.02116394042969
fcnn,13,3,104.96778869628906
fcnn,13,4,95.47826385498047
fcnn,13,5,100.15350341796875
fcnn,13,6,84.78709411621094
fcnn,13,7,95.59555053710938
fcnn,13,8,99.26472473144531
fcnn,13,9,94.92091369628906
fcnn,13,10,96.51801300048828
fcnn,13,11,85.11190795898438
fcnn,13,12,101.64466094970703
fcnn,14,0,86.80603790283203
fcnn,14,1,86.34211730957031
fcnn,14,2,87.74795532226562
fcnn,14,3,92.10254669189453
fcnn,14,4,89.3958511352539
fcnn,14,5,84.28565979003906
fcnn,14,6,74.80966186523438
fcnn,14,7,82.49095153808594
fcnn,14,8,83.79219055175781
fcnn,14,9,79.55349731445312
fcnn,14,10,77.8880615234375
fcnn,14,11,74.82918548583984
fcnn,14,12,90.35035705566406
fcnn,14,13,84.18148803710938
fcnn,15,0,110.14256286621094
fcnn,15,1,99.92223358154297
fcnn,15,2,93.46446990966797
fcnn,15,3,90.03965759277344
fcnn,15,4,93.22002410888672
fcnn,15,5,102.05594635009766
fcnn,15,6,87.55301666259766
fcnn,15,7,89.8399887084961
fcnn,15,8,104.57914733886719
fcnn,15,9,79.15115356445312
fcnn,15,10,97.48988342285156
fcnn,15,11,85.47586059570312
fcnn,15,12,101.74992370605469
fcnn,15,13,88.64468383789062
fcnn,15,14,71.82444763183594
fcnn,16,0,105.24090576171875
fcnn,16,1,101.90345764160156
fcnn,16,2,97.63953399658203
fcnn,16,3,98.26811218261719
fcnn,16,4,97.37630462646484
fcnn,16,5,98.92051696777344
fcnn,16,6,82.50467681884766
fcnn,16,7,89.46185302734375
fcnn,16,8,102.47444152832031
fcnn,16,9,80.21669006347656
fcnn,16,10,93.93623352050781
fcnn,16,11,87.92345428466797
fcnn,16,12,103.65290832519531
fcnn,16,13,93.93437194824219
fcnn,16,14,75.24610900878906
fcnn,16,15,91.08335876464844
fcnn,17,0,104.25611877441406
fcnn,17,1,102.55583190917969
fcnn,17,2,91.00027465820312
fcnn,17,3,92.62836456298828
fcnn,17,4,88.16083526611328
fcnn,17,5,89.9684829711914
fcnn,17,6,81.71672058105469
fcnn,17,7,84.37066650390625
fcnn,17,8,94.83116149902344
fcnn,17,9,83.49017333984375
fcnn,17,10,94.0233154296875
fcnn,17,11,81.00373840332031
fcnn,17,12,98.03091430664062
fcnn,17,13,88.73153686523438
fcnn,17,14,69.445556640625
fcnn,17,15,85.7001724243164
fcnn,17,16,90.560546875
fcnn,18,0,117.25041961669922
fcnn,18,1,110.55935668945312
fcnn,18,2,107.28919982910156
fcnn,18,3,98.93685150146484
fcnn,18,4,100.49754333496094
fcnn,18,5,105.14476013183594
fcnn,18,6,95.0689697265625
fcnn,18,7,99.5003662109375
fcnn,18,8,110.2337417602539
fcnn,18,9,90.90190124511719
fcnn,18,10,107.51759338378906
fcnn,18,11,94.73333740234375
fcnn,18,12,108.90443420410156
fcnn,18,13,101.17411041259766
fcnn,18,14,79.57559204101562
fcnn,18,15,101.87826538085938
fcnn,18,16,101.00772094726562
fcnn,18,17,94.47087860107422
fcnn,19,0,106.95562744140625
fcnn,19,1,112.29946899414062
fcnn,19,2,100.81703186035156
fcnn,19,3,100.73516845703125
fcnn,19,4,100.44913482666016
fcnn,19,5,99.25928497314453
fcnn,19,6,86.4384765625
fcnn,19,7,90.54635620117188
fcnn,19,8,98.71705627441406
fcnn,19,9,90.86158752441406
fcnn,19,10,100.62509155273438
fcnn,19,11,85.52066040039062
fcnn,19,12,104.81782531738281
fcnn,19,13,96.93544006347656
fcnn,19,14,75.123046875
fcnn,19,15,87.50303649902344
fcnn,19,16,88.22357177734375
fcnn,19,17,91.8541259765625
fcnn,19,18,95.20178985595703
fcnn,20,0,133.84466552734375
fcnn,20,1,133.76449584960938
fcnn,20,2,125.939453125
fcnn,20,3,123.2178955078125
fcnn,20,4,123.33617401123047
fcnn,20,5,124.60204315185547
fcnn,20,6,105.78030395507812
fcnn,20,7,113.8599853515625
fcnn,20,8,127.50032043457031
fcnn,20,9,107.03742980957031
fcnn,20,10,119.95066833496094
fcnn,20,11,103.72650909423828
fcnn,20,12,135.67657470703125
fcnn,20,13,116.05244445800781
fcnn,20,14,93.94986724853516
fcnn,20,15,112.96249389648438
fcnn,20,16,106.48800659179688
fcnn,20,17,106.82664489746094
fcnn,20,18,120.6536865234375
fcnn,20,19,119.64189910888672
fcnn,21,0,116.57528686523438
fcnn,21,1,110.33219909667969
fcnn,21,2,109.62069702148438
fcnn,21,3,110.33650970458984
fcnn,21,4,105.65982055664062
fcnn,21,5,111.40056610107422
fcnn,21,6,93.33453369140625
fcnn,21,7,98.78116607666016
fcnn,21,8,109.09423828125
fcnn,21,9,91.84210205078125
fcnn,21,10,105.90742492675781
fcnn,21,11,90.72571563720703
fcnn,21,12,113.1143798828125
fcnn,21,13,106.4658203125
fcnn,21,14,83.2813491821289
fcnn,21,15,97.680908203125
fcnn,21,16,93.25819396972656
fcnn,21,17,92.23992919921875
fcnn,21,18,104.99591827392578
fcnn,21,19,102.03134155273438
fcnn,21,20,128.64389038085938
fcnn,22,0,119.78528594970703
fcnn,22,1,122.60607147216797
fcnn,22,2,108.57106018066406
