label,i,j,K_ij
attn,1,0,0.7909885048866272
attn,2,0,0.7920498847961426
attn,2,1,0.7866559624671936
attn,3,0,0.8520089387893677
attn,3,1,0.8476727604866028
attn,3,2,0.8448754549026489
attn,4,0,0.7917941808700562
attn,4,1,0.7856760025024414
attn,4,2,0.7920677661895752
attn,4,3,0.8463457226753235
attn,5,0,0.7737979888916016
attn,5,1,0.7905303239822388
attn,5,2,0.770807147026062
attn,5,3,0.8260090351104736
attn,5,4,0.7849570512771606
attn,6,0,0.7175256013870239
attn,6,1,0.7136576175689697
attn,6,2,0.7134854793548584
attn,6,3,0.7699892520904541
attn,6,4,0.7145615220069885
attn,6,5,0.7141565084457397
attn,7,0,0.7124823331832886
attn,7,1,0.7352424263954163
attn,7,2,0.7163058519363403
attn,7,3,0.7807235717773438
attn,7,4,0.7263295650482178
attn,7,5,0.7298239469528198
attn,7,6,0.6518466472625732
attn,8,0,0.7978549003601074
attn,8,1,0.7995386123657227
attn,8,2,0.7782641649246216
attn,8,3,0.8525071740150452
attn,8,4,0.7917722463607788
attn,8,5,0.7792571783065796
attn,8,6,0.718338131904602
attn,8,7,0.723609447479248
attn,9,0,0.694928765296936
attn,9,1,0.689619243144989
attn,9,2,0.7000014781951904
attn,9,3,0.7495582103729248
attn,9,4,0.6976641416549683
attn,9,5,0.690343976020813
attn,9,6,0.6302242279052734
attn,9,7,0.6547685861587524
attn,9,8,0.6864675283432007
attn,10,0,0.7990089654922485
attn,10,1,0.7960676550865173
attn,10,2,0.7807372808456421
attn,10,3,0.8508636951446533
attn,10,4,0.8017520308494568
attn,10,5,0.7949506640434265
attn,10,6,0.7336790561676025
attn,10,7,0.7359911203384399
attn,10,8,0.8016151189804077
attn,10,9,0.6892287731170654
attn,11,0,0.724889874458313
attn,11,1,0.7148728966712952
attn,11,2,0.7184520959854126
attn,11,3,0.7725862264633179
attn,11,4,0.7178809642791748
attn,11,5,0.6948776245117188
attn,11,6,0.6442302465438843
attn,11,7,0.6514549255371094
attn,11,8,0.7122758626937866
attn,11,9,0.6321104168891907
attn,11,10,0.7219575643539429
attn,12,0,0.7885503768920898
attn,12,1,0.7873820066452026
attn,12,2,0.7795742154121399
attn,12,3,0.8466881513595581
attn,12,4,0.7909995317459106
attn,12,5,0.7833133935928345
attn,12,6,0.6960227489471436
attn,12,7,0.7394554018974304
attn,12,8,0.7990390062332153
attn,12,9,0.6954507827758789
attn,12,10,0.7942022085189819
attn,12,11,0.7239203453063965
attn,13,0,0.7699455618858337
attn,13,1,0.7743537425994873
attn,13,2,0.7673054933547974
attn,13,3,0.8177211284637451
attn,13,4,0.7708846926689148
attn,13,5,0.7579107284545898
attn,13,6,0.6952727437019348
attn,13,7,0.7147247195243835
attn,13,8,0.7655966281890869
attn,13,9,0.6773122549057007
attn,13,10,0.7694129943847656
attn,13,11,0.6956393122673035
attn,13,12,0.7582003474235535
attn,14,0,0.7416459321975708
attn,14,1,0.7487951517105103
attn,14,2,0.7241315245628357
attn,14,3,0.7799546122550964
attn,14,4,0.7498788833618164
attn,14,5,0.7353110313415527
attn,14,6,0.6751264333724976
attn,14,7,0.6890120506286621
attn,14,8,0.7531034350395203
attn,14,9,0.6562376022338867
attn,14,10,0.7583197951316833
attn,14,11,0.6872161626815796
attn,14,12,0.7592748403549194
attn,14,13,0.7301914691925049
attn,15,0,0.7082391977310181
attn,15,1,0.7149955034255981
attn,15,2,0.7002226114273071
attn,15,3,0.7377069592475891
attn,15,4,0.7103146910667419
attn,15,5,0.7121552228927612
attn,15,6,0.642481803894043
attn,15,7,0.6587323546409607
attn,15,8,0.7102557420730591
attn,15,9,0.617072343826294
attn,15,10,0.7189189791679382
attn,15,11,0.6439902782440186
attn,15,12,0.7057916522026062
