Slopes for D_IN scaling:
Configuration | Slope | R^2 | Points
--------------------------------------------------
N=8, L=16, M=20 | 0.013 | 0.616 | 8
N=8, L=6, M=30 | 0.008 | 0.816 | 8
N=8, L=2, M=10 | 0.014 | 0.846 | 8
N=8, L=4, M=20 | 0.010 | 0.592 | 8
N=8, L=34, M=10 | -0.000 | 0.001 | 8
N=8, L=8, M=10 | 0.009 | 0.641 | 8
N=10, L=6, M=20 | 0.009 | 0.763 | 8
N=10, L=4, M=20 | 0.017 | 0.636 | 8
N=10, L=2, M=10 | 0.011 | 0.773 | 8
N=25, L=2, M=10 | 0.021 | 0.543 | 8
N=10, L=20, M=10 | 0.002 | 0.602 | 8
N=8, L=30, M=10 | 0.003 | 0.274 | 8
N=8, L=20, M=10 | 0.003 | 0.429 | 8
N=8, L=12, M=10 | 0.009 | 0.519 | 8
N=25, L=8, M=10 | 0.008 | 0.738 | 7
N=8, L=20, M=30 | 0.027 | 0.691 | 7
N=8, L=38, M=10 | 0.005 | 0.403 | 7
N=16, L=10, M=20 | 0.013 | 0.676 | 7
N=10, L=34, M=10 | -0.001 | 0.169 | 7
N=10, L=14, M=30 | 0.026 | 0.785 | 7
N=10, L=28, M=10 | 0.003 | 0.539 | 7
N=10, L=4, M=40 | 0.019 | 0.672 | 7
N=8, L=44, M=10 | -0.268 | 0.398 | 7
N=10, L=22, M=20 | 0.025 | 0.588 | 7
N=32, L=2, M=10 | 0.021 | 0.748 | 7
N=32, L=4, M=10 | 0.022 | 0.616 | 6
N=16, L=20, M=20 | 0.007 | 0.908 | 6
N=8, L=10, M=50 | 0.029 | 0.634 | 6
N=8, L=44, M=20 | -0.039 | 0.134 | 6
N=16, L=6, M=30 | 0.025 | 0.776 | 6
N=10, L=16, M=30 | 0.026 | 0.640 | 6
N=16, L=2, M=40 | 0.028 | 0.787 | 6
N=8, L=32, M=30 | 0.018 | 0.548 | 6
N=25, L=4, M=20 | 0.028 | 0.763 | 6
N=10, L=40, M=10 | 0.001 | 0.262 | 6
N=16, L=30, M=10 | -0.001 | 0.337 | 6
N=10, L=42, M=10 | -0.001 | 0.784 | 6
N=10, L=10, M=40 | 0.028 | 0.627 | 6
N=10, L=32, M=20 | 0.024 | 0.155 | 6
N=10, L=6, M=40 | 0.025 | 0.656 | 6
N=16, L=12, M=30 | 0.017 | 0.796 | 6
N=8, L=36, M=20 | 0.005 | 0.471 | 6
N=25, L=2, M=40 | 0.030 | 0.779 | 5
N=10, L=30, M=30 | 0.015 | 0.359 | 5
N=10, L=10, M=50 | 0.040 | 0.794 | 5
N=16, L=34, M=10 | -0.001 | 0.484 | 5
N=10, L=52, M=10 | 0.000 | 0.074 | 5
N=10, L=14, M=50 | 0.015 | 0.912 | 5
N=25, L=16, M=20 | 0.017 | 0.744 | 5
N=16, L=26, M=20 | 0.003 | 0.047 | 5
N=8, L=20, M=50 | 0.071 | 0.634 | 5
N=8, L=10, M=60 | 0.019 | 0.817 | 5
