Wall time,Step,Value
1675359025.209079,0,1.0
1675359025.21082,1,0.0
1675359025.212042,2,0.0
1675359025.213111,3,0.0
1675359025.214167,4,0.0
1675359025.215252,5,0.0
1675359025.21628,6,0.0
1675359025.217293,7,0.0
1675359025.218318,8,0.0
1675359025.219379,9,0.0
1675359025.220404,10,0.0
1675359025.221435,11,0.0
1675359025.22246,12,0.0
1675359025.223523,13,0.0
1675359025.224551,14,0.0
1675359025.225578,15,0.0
1675359025.226592,16,0.0
1675359025.227627,17,0.0
1675359025.228663,18,0.0
1675359025.229685,19,0.0
1675359025.230692,20,0.0
1675359025.231743,21,0.0
1675359025.232772,22,0.0
1675359025.233789,23,0.0
1675359025.234798,24,0.0
1675359025.235865,25,0.0
1675359025.236922,26,0.0
1675359025.237951,27,0.0
1675359025.238977,28,0.0
1675359025.240012,29,0.0
1675359025.241041,30,0.0
1675359025.242059,31,0.0
1675359025.243082,32,0.0
1675359025.244117,33,0.0
1675359025.24514,34,0.0
1675359025.246173,35,0.0
1675359025.24721,36,0.0
1675359025.248237,37,0.0
1675359025.249285,38,0.0
1675359025.250305,39,0.0
1675359025.251349,40,0.0
1675359025.252366,41,0.0
1675359025.253381,42,0.0
1675359025.254384,43,0.0
1675359025.255406,44,0.0
1675359025.25641,45,0.0
1675359025.257414,46,0.0
1675359025.258411,47,0.0
1675359025.259434,48,0.0
1675359025.260444,49,0.0
1675359025.261462,50,0.0
1675359025.262468,51,0.0
1675359025.263499,52,0.0
1675359025.264505,53,0.0
1675359025.265512,54,0.0
1675359025.266503,55,0.0
1675359025.267521,56,0.0
1675359025.268523,57,0.0
1675359025.269521,58,0.0
1675359025.270529,59,0.0
1675359025.271544,60,0.0
1675359025.272554,61,0.0
1675359025.273579,62,0.0
1675359025.274577,63,0.0
1675359025.27561,64,0.0
1675359025.276625,65,0.0
1675359025.277633,66,0.0
1675359025.278647,67,0.0
1675359025.279662,68,0.0
1675359025.280657,69,0.0
1675359025.281657,70,0.0
1675359025.28265,71,0.0
1675359025.283679,72,0.0
1675359025.284704,73,0.0
1675359025.285728,74,0.0
1675359025.286728,75,0.0
1675359025.287771,76,0.0
1675359025.288793,77,0.0
1675359025.289805,78,0.0
1675359025.290806,79,0.0
1675359025.291837,80,0.0
1675359025.292976,81,0.0
1675359025.293932,82,0.0
1675359025.294896,83,0.0
1675359025.295892,84,0.0
1675359025.296855,85,0.0
1675359025.297816,86,0.0
1675359025.29877,87,0.0
1675359025.29975,88,0.0
1675359025.300736,89,0.0
1675359025.301724,90,0.0
1675359025.302694,91,0.0
1675359025.303693,92,0.0
1675359025.304659,93,0.0
1675359025.305607,94,0.0
1675359025.306558,95,0.0
1675359025.307531,96,0.0
1675359025.308488,97,0.0
1675359025.309462,98,0.0
1675359025.310591,99,0.0
1675359025.311563,100,0.0
1675359025.312516,101,0.0
1675359025.313471,102,0.0
1675359025.314427,103,0.0
1675359025.315395,104,0.0
1675359025.316358,105,0.0
1675359025.317312,106,0.0
1675359025.318269,107,0.0
1675359025.319251,108,0.0
1675359025.320219,109,0.0
1675359025.321183,110,0.0
1675359025.322152,111,0.0
1675359025.323136,112,0.0
1675359025.324096,113,0.0
1675359025.325052,114,0.0
1675359025.325995,115,0.0
1675359025.326958,116,0.0
1675359025.327935,117,0.0
1675359025.328909,118,0.0
1675359025.329863,119,0.0
1675359025.330818,120,0.0
1675359025.331809,121,0.0
1675359025.332765,122,0.0
1675359025.333736,123,0.0
1675359025.33469,124,0.0
1675359025.335677,125,0.0
1675359025.336649,126,0.0
1675359025.33761,127,0.0
1675359025.33857,128,0.0
1675359025.339554,129,0.0
1675359025.340515,130,0.0
1675359025.341474,131,0.0
1675359025.342453,132,0.0
1675359025.343441,133,0.0
1675359025.344412,134,0.0
1675359025.345382,135,0.0
1675359025.346387,136,0.0
1675359025.347383,137,0.0
1675359025.348362,138,0.0
1675359025.349338,139,0.0
1675359025.350313,140,0.0
1675359025.351294,141,0.0
1675359025.352277,142,0.0
1675359025.35326,143,0.0
1675359025.354236,144,0.0
1675359025.355223,145,0.0
1675359025.356207,146,0.0
1675359025.35718,147,0.0
1675359025.358177,148,0.0
1675359025.359169,149,0.0
1675359025.360143,150,0.0
1675359025.361119,151,0.0
1675359025.362106,152,0.0
1675359025.363102,153,0.0
1675359025.364082,154,0.0
1675359025.365072,155,0.0
1675359025.366038,156,0.0
1675359025.367019,157,0.0
1675359025.368002,158,0.0
1675359025.368966,159,0.0
1675359025.369945,160,0.0
1675359025.370951,161,0.0
1675359025.371947,162,0.0
1675359025.372926,163,0.0
1675359025.373898,164,0.0
1675359025.374868,165,0.0
1675359025.375882,166,0.0
1675359025.37687,167,0.0
1675359025.377859,168,0.0
1675359025.378832,169,0.0
1675359025.379828,170,0.0
1675359025.38081,171,0.0
1675359025.381786,172,0.0
1675359025.382782,173,0.0
1675359025.383781,174,0.0
1675359025.384763,175,0.0
1675359025.385732,176,0.0
1675359025.386706,177,0.0
1675359025.387711,178,0.0
1675359025.38869,179,0.0
1675359025.389664,180,0.0
1675359025.390646,181,0.0
1675359025.391656,182,0.0
1675359025.392633,183,0.0
1675359025.393824,184,0.0
1675359025.39486,185,0.0
1675359025.395947,186,0.0
1675359025.39698,187,0.0
1675359025.398,188,0.0
1675359025.399036,189,0.0
1675359025.40007,190,0.0
1675359025.401465,191,0.0
1675359025.402471,192,0.0
1675359025.403516,193,0.0
1675359025.404526,194,0.0
1675359025.405536,195,0.0
1675359025.406546,196,0.0
1675359025.40757,197,0.0
1675359025.408601,198,0.0
1675359025.409614,199,0.0
