Wall time,Step,Value
1676031917.550166,0,1.0
1676031917.551938,1,1.0
1676031917.553217,2,1.0
1676031917.554428,3,1.0
1676031917.555557,4,1.0
1676031917.556774,5,1.0
1676031917.557867,6,1.0
1676031917.55894,7,1.0
1676031917.560074,8,1.0
1676031917.561171,9,1.0
1676031917.562253,10,1.0
1676031917.563328,11,1.0
1676031917.564414,12,1.0
1676031917.565496,13,1.0
1676031917.566582,14,1.0
1676031917.567708,15,1.0
1676031917.568799,16,1.0
1676031917.569882,17,1.0
1676031917.570964,18,1.0
1676031917.572033,19,1.0
1676031917.573119,20,1.0
1676031917.574186,21,1.0
1676031917.57525,22,1.0
1676031917.576348,23,1.0
1676031917.577423,24,1.0
1676031917.578467,25,1.0
1676031917.579536,26,1.0
1676031917.580626,27,1.0
1676031917.581663,28,1.0
1676031917.582696,29,1.0
1676031917.58378,30,1.0
1676031917.584858,31,1.0
1676031917.585924,32,1.0
1676031917.58704,33,1.0
1676031917.588116,34,1.0
1676031917.589173,35,1.0
1676031917.590216,36,1.0
1676031917.591274,37,1.0
1676031917.592346,38,1.0
1676031917.593428,39,1.0
1676031917.594465,40,1.0
1676031917.595534,41,1.0
1676031917.596609,42,1.0
1676031917.597673,43,1.0
1676031917.598692,44,1.0
1676031917.599772,45,1.0
1676031917.600846,46,1.0
1676031917.601919,47,1.0
1676031917.602978,48,1.0
1676031917.604056,49,1.0
1676031917.605137,50,1.0
1676031917.6062,51,1.0
1676031917.607249,52,1.0
1676031917.608331,53,1.0
1676031917.609401,54,1.0
1676031917.610449,55,1.0
1676031917.611542,56,1.0
1676031917.612639,57,1.0
1676031917.613717,58,1.0
1676031917.614755,59,1.0
1676031917.615837,60,1.0
1676031917.616897,61,1.0
1676031917.617965,62,1.0
1676031917.619036,63,1.0
1676031917.620129,64,1.0
1676031917.621212,65,1.0
1676031917.622264,66,1.0
1676031917.623337,67,1.0
1676031917.624421,68,1.0
1676031917.625484,69,1.0
1676031917.626515,70,1.0
1676031917.627584,71,1.0
1676031917.628683,72,1.0
1676031917.629752,73,1.0
1676031917.630783,74,1.0
1676031917.631859,75,1.0
1676031917.63294,76,1.0
1676031917.634004,77,1.0
1676031917.635057,78,1.0
1676031917.636126,79,1.0
1676031917.63721,80,1.0
1676031917.638266,81,1.0
1676031917.639337,82,1.0
1676031917.640419,83,1.0
1676031917.641477,84,1.0
1676031917.642521,85,1.0
1676031917.643609,86,1.0
1676031917.644697,87,1.0
1676031917.645887,88,1.0
1676031917.646957,89,1.0
1676031917.648298,90,1.0
1676031917.649593,91,1.0
1676031917.650873,92,1.0
1676031917.65217,93,1.0
1676031917.653239,94,1.0
