Wall time,Step,Value
1675363147.587178,-20,2.44051194190979
1675363246.83941,-19,2.2353413105010986
1675363345.10411,-18,1.982012152671814
1675363444.544306,-17,1.6633399724960327
1675363543.394164,-16,1.2438321113586426
1675363643.255972,-15,0.7806456089019775
1675363743.178652,-14,0.40838682651519775
1675363843.358676,-13,0.18891608715057373
1675363943.359988,-12,0.08578382432460785
1675364043.269552,-11,0.041314978152513504
1675364142.998434,-10,0.02187768928706646
1675364240.961087,-9,0.013175790198147297
1675364340.736085,-8,0.009260756894946098
1675364438.663138,-7,0.007474920712411404
1675364537.437437,-6,0.006564229726791382
1675364638.354206,-5,0.0060643828473985195
1675364739.166179,-4,0.005796527955681086
1675364839.71176,-3,0.005884650629013777
1675364939.820168,-2,0.0062451488338410854
1675365040.966784,-1,0.006044489797204733
1675365141.448056,0,0.005202565807849169
1675365243.262058,1,0.004768108483403921
1675365343.701389,2,0.004753664135932922
1675365444.857994,3,0.004838396795094013
1675365546.649694,4,0.00486656604334712
