Wall time,Step,Value
1675362151.120399,-20,3.331902503967285
1675362177.939694,-19,2.996304750442505
1675362205.344026,-18,2.5885872840881348
1675362232.285345,-17,2.1331090927124023
1675362259.215596,-16,1.5965148210525513
1675362285.893717,-15,0.9898710250854492
1675362313.002799,-14,0.4884456396102905
1675362339.562829,-13,0.2076459676027298
1675362366.454662,-12,0.0895741805434227
1675362394.621485,-11,0.042703866958618164
1675362422.243854,-10,0.022854533046483994
1675362449.224211,-9,0.014015785418450832
1675362476.527783,-8,0.010009520687162876
1675362502.412495,-7,0.008139880374073982
1675362528.634373,-6,0.00712811341509223
1675362554.548029,-5,0.006510711740702391
1675362580.441473,-4,0.006113382522016764
1675362606.679832,-3,0.005983412265777588
1675362634.058943,-2,0.0058712163008749485
1675362660.432817,-1,0.0055092074908316135
1675362687.460255,0,0.005338028073310852
1675362714.879985,1,0.005098856519907713
1675362740.771993,2,0.0050084469839930534
1675362767.100037,3,0.011816670186817646
1675362791.736718,4,1.7401598691940308
