Wall time,Step,Value
1675361060.229121,-20,10.358466148376465
1675361086.621847,-19,9.639984130859375
1675361112.81037,-18,8.538604736328125
1675361138.533231,-17,7.091714859008789
1675361164.41377,-16,5.5026116371154785
1675361190.696428,-15,3.8594417572021484
1675361216.630798,-14,2.16554856300354
1675361242.2427,-13,0.8629744052886963
1675361267.652901,-12,0.24379213154315948
1675361292.261507,-11,0.08325883001089096
1675361315.562538,-10,0.04347746819257736
1675361340.926174,-9,0.028632625937461853
1675361365.997873,-8,0.021823743358254433
1675361391.762178,-7,0.018056703731417656
1675361417.894911,-6,0.015242044813930988
1675361443.333006,-5,0.01277920976281166
1675361468.902786,-4,0.010662747547030449
1675361495.019239,-3,0.008890963159501553
1675361521.129255,-2,0.008413407951593399
1675361547.503333,-1,0.008540263399481773
1675361574.666834,0,0.04767089709639549
1675361598.759345,1,0.6482710838317871
1675361624.584961,2,1.8816817998886108
1675361650.614244,3,2.1810364723205566
1675361675.354147,4,1213539.625
