Wall time,Step,Value
1676026146.888216,0,1.0
1676026146.889728,1,1.0
1676026146.890773,2,1.0
1676026146.891835,3,1.0
1676026146.89285,4,1.0
1676026146.893868,5,1.0
1676026146.894868,6,1.0
1676026146.895964,7,1.0
1676026146.896977,8,1.0
1676026146.897972,9,1.0
1676026146.89899,10,1.0
1676026146.899995,11,1.0
1676026146.900981,12,1.0
1676026146.901983,13,1.0
1676026146.903005,14,1.0
1676026146.904003,15,1.0
1676026146.904989,16,1.0
1676026146.90599,17,1.0
1676026146.907008,18,1.0
1676026146.908005,19,1.0
1676026146.909045,20,1.0
1676026146.910033,21,1.0
1676026146.911035,22,1.0
1676026146.912037,23,1.0
1676026146.913039,24,1.0
1676026146.914031,25,1.0
1676026146.915045,26,1.0
1676026146.916055,27,1.0
1676026146.91704,28,1.0
1676026146.918039,29,1.0
1676026146.919042,30,1.0
1676026146.92004,31,1.0
1676026146.921038,32,1.0
1676026146.922028,33,1.0
1676026146.923043,34,1.0
1676026146.924042,35,1.0
1676026146.925032,36,1.0
1676026146.926026,37,0.9899999499320984
1676026146.927035,38,0.9399999976158142
1676026146.928094,39,0.7999999523162842
1676026146.929129,40,0.6699999570846558
1676026146.93035,41,0.4399999976158142
1676026146.931379,42,0.1599999964237213
1676026146.932389,43,0.09999999403953552
1676026146.93364,44,0.029999999329447746
1676026146.93471,45,0.0
1676026146.935898,46,0.0
1676026146.936904,47,0.0
1676026146.93791,48,0.0
1676026146.938929,49,0.0
1676026146.939945,50,0.0
1676026146.940947,51,0.0
1676026146.941951,52,0.0
1676026146.942985,53,0.0
1676026146.944005,54,0.0
1676026146.945023,55,0.0
1676026146.946078,56,0.0
1676026146.947098,57,0.0
1676026146.948256,58,0.0
1676026146.949254,59,0.0
1676026146.950249,60,0.0
1676026146.951273,61,0.0
1676026146.952294,62,0.0
1676026146.953291,63,0.0
1676026146.954295,64,0.0
1676026146.955339,65,0.0
1676026146.956334,66,0.0
1676026146.95734,67,0.0
1676026146.958357,68,0.0
1676026146.959379,69,0.0
1676026146.960378,70,0.0
1676026146.961376,71,0.0
1676026146.962373,72,0.0
1676026146.963403,73,0.0
1676026146.964412,74,0.0
1676026146.965422,75,0.0
1676026146.966422,76,0.0
1676026146.967447,77,0.0
1676026146.968452,78,0.0
1676026146.969452,79,0.0
1676026146.970492,80,0.0
1676026146.971509,81,0.0
1676026146.972508,82,0.0
1676026146.973506,83,0.0
1676026146.974514,84,0.0
1676026146.975538,85,0.0
1676026146.97652,86,0.0
1676026146.977519,87,0.0
1676026146.978508,88,0.0
1676026146.979521,89,0.0
1676026146.980515,90,0.0
1676026146.981515,91,0.0
1676026146.9825,92,0.0
1676026146.983544,93,0.0
1676026146.984537,94,0.0
1676026146.985527,95,0.0
1676026146.986531,96,0.0
1676026146.987554,97,0.0
1676026146.988558,98,0.0
1676026146.989743,99,0.0
1676026146.990751,100,0.0
1676026146.991776,101,0.0
1676026146.992771,102,0.0
1676026146.993768,103,0.0
1676026146.994774,104,0.0
1676026146.995793,105,0.0
1676026146.996792,106,0.0
1676026146.997788,107,0.0
1676026146.998784,108,0.0
1676026146.999819,109,0.0
1676026147.000808,110,0.0
1676026147.00184,111,0.0
1676026147.002851,112,0.0
1676026147.003927,113,0.0
1676026147.004948,114,0.0
1676026147.005961,115,0.0
1676026147.006967,116,0.0
1676026147.007972,117,0.0
1676026147.008973,118,0.0
1676026147.009968,119,0.0
1676026147.010982,120,0.0
1676026147.012126,121,0.0
1676026147.013347,122,0.0
1676026147.014576,123,0.0
1676026147.015786,124,0.0
1676026147.016993,125,0.0
1676026147.01818,126,0.0
1676026147.019392,127,0.0
1676026147.020611,128,0.0
1676026147.021624,129,0.0
1676026147.022626,130,0.0
1676026147.023646,131,0.0
1676026147.024646,132,0.0
1676026147.025652,133,0.0
1676026147.026663,134,0.0
1676026147.027686,135,0.0
1676026147.028701,136,0.0
1676026147.029694,137,0.0
1676026147.030701,138,0.0
1676026147.031727,139,0.0
1676026147.032757,140,0.0
1676026147.033773,141,0.0
1676026147.034767,142,0.0
1676026147.0358,143,0.0
1676026147.0368,144,0.0
1676026147.037806,145,0.0
1676026147.038806,146,0.0
1676026147.039835,147,0.0
1676026147.040843,148,0.0
1676026147.041851,149,0.0
1676026147.042871,150,0.0
1676026147.043898,151,0.0
1676026147.044899,152,0.0
1676026147.045911,153,0.0
1676026147.046906,154,0.0
1676026147.048115,155,0.0
1676026147.049123,156,0.0
1676026147.050123,157,0.0
1676026147.051143,158,0.0
1676026147.052163,159,0.0
1676026147.053174,160,0.0
1676026147.054174,161,0.0
1676026147.055204,162,0.0
1676026147.056226,163,0.0
1676026147.057227,164,0.0
1676026147.058235,165,0.0
1676026147.059272,166,0.0
1676026147.060303,167,0.0
1676026147.061311,168,0.0
1676026147.062317,169,0.0
1676026147.063335,170,0.0
1676026147.06435,171,0.0
1676026147.065407,172,0.0
1676026147.066431,173,0.0
1676026147.067457,174,0.0
1676026147.068464,175,0.0
1676026147.069476,176,0.0
1676026147.070496,177,0.0
1676026147.071525,178,0.0
1676026147.072529,179,0.0
1676026147.073534,180,0.0
1676026147.074551,181,0.0
1676026147.075566,182,0.0
1676026147.076566,183,0.0
1676026147.077567,184,0.0
1676026147.078576,185,0.0
1676026147.079605,186,0.0
1676026147.080616,187,0.0
1676026147.081608,188,0.0
1676026147.082616,189,0.0
1676026147.08364,190,0.0
1676026147.084662,191,0.0
1676026147.085669,192,0.0
1676026147.086668,193,0.0
1676026147.087706,194,0.0
1676026147.08872,195,0.0
1676026147.090072,196,0.0
1676026147.091111,197,0.0
1676026147.092107,198,0.0
1676026147.093106,199,0.0
1676026147.0941,200,0.0
1676026147.095129,201,0.0
1676026147.096136,202,0.0
1676026147.09713,203,0.0
1676026147.09811,204,0.0
1676026147.099125,205,0.0
1676026147.10014,206,0.0
1676026147.101143,207,0.0
1676026147.102149,208,0.0
1676026147.103179,209,0.0
1676026147.104175,210,0.0
1676026147.105176,211,0.0
1676026147.106172,212,0.0
1676026147.10718,213,0.0
1676026147.108175,214,0.0
1676026147.109183,215,0.0
1676026147.110188,216,0.0
1676026147.111215,217,0.0
1676026147.112782,218,0.0
1676026147.113995,219,0.0
1676026147.115024,220,0.0
1676026147.116042,221,0.0
1676026147.117038,222,0.0
1676026147.118064,223,0.0
1676026147.119085,224,0.0
1676026147.120101,225,0.0
1676026147.121299,226,0.0
1676026147.12229,227,0.0
1676026147.123291,228,0.0
1676026147.124291,229,0.0
1676026147.125297,230,0.0
1676026147.1263,231,0.0
