Wall time,Step,Value
1676032078.414292,0,1.0
1676032078.41618,1,1.0
1676032078.417639,2,1.0
1676032078.418794,3,1.0
1676032078.419979,4,1.0
1676032078.421113,5,1.0
1676032078.422211,6,1.0
1676032078.42333,7,1.0
1676032078.424444,8,1.0
1676032078.425539,9,1.0
1676032078.426604,10,1.0
1676032078.42771,11,1.0
1676032078.4288,12,1.0
1676032078.429889,13,1.0
1676032078.43098,14,1.0
1676032078.432067,15,1.0
1676032078.433138,16,1.0
1676032078.43422,17,1.0
1676032078.435307,18,1.0
1676032078.436374,19,1.0
1676032078.437439,20,1.0
1676032078.438517,21,1.0
1676032078.439612,22,1.0
1676032078.440695,23,1.0
1676032078.441751,24,1.0
1676032078.442842,25,1.0
1676032078.443924,26,1.0
1676032078.44502,27,1.0
1676032078.446084,28,1.0
1676032078.447172,29,1.0
1676032078.448238,30,1.0
1676032078.449319,31,1.0
1676032078.45039,32,1.0
1676032078.451507,33,1.0
1676032078.452582,34,1.0
1676032078.453646,35,1.0
1676032078.454717,36,1.0
1676032078.455829,37,1.0
1676032078.456905,38,1.0
1676032078.457969,39,1.0
1676032078.459043,40,1.0
1676032078.460145,41,1.0
1676032078.461216,42,1.0
1676032078.462293,43,1.0
1676032078.463396,44,1.0
1676032078.464495,45,1.0
1676032078.465575,46,1.0
1676032078.466664,47,1.0
1676032078.467779,48,1.0
1676032078.468875,49,1.0
1676032078.469945,50,1.0
1676032078.471031,51,1.0
1676032078.472119,52,1.0
1676032078.473234,53,1.0
1676032078.474318,54,1.0
1676032078.475414,55,1.0
1676032078.476481,56,1.0
1676032078.477561,57,1.0
1676032078.478648,58,1.0
1676032078.479762,59,1.0
1676032078.480857,60,1.0
1676032078.481953,61,1.0
1676032078.483051,62,1.0
1676032078.484162,63,1.0
1676032078.485258,64,1.0
1676032078.48635,65,1.0
1676032078.487436,66,1.0
1676032078.488531,67,1.0
1676032078.489626,68,1.0
1676032078.490704,69,1.0
1676032078.491805,70,1.0
1676032078.492896,71,1.0
1676032078.493967,72,0.9899999499320984
1676032078.505414,73,0.9799999594688416
1676032078.507463,74,0.9300000071525574
1676032078.509236,75,0.9199999570846558
1676032078.510985,76,0.8199999928474426
1676032078.512753,77,0.7400000095367432
1676032078.514503,78,0.699999988079071
1676032078.516838,79,0.5899999737739563
1676032078.518289,80,0.5699999928474426
1676032078.519989,81,0.4699999988079071
1676032078.521406,82,0.3700000047683716
1676032078.523081,83,0.25999999046325684
1676032078.524556,84,0.17000000178813934
1676032078.526139,85,0.14999999105930328
1676032078.527808,86,0.10999999940395355
1676032078.529551,87,0.08999999612569809
1676032078.531352,88,0.05999999865889549
1676032078.5327,89,0.029999999329447746
1676032078.534602,90,0.019999999552965164
1676032078.536371,91,0.019999999552965164
1676032078.538072,92,0.0
1676032078.540021,93,0.0
1676032078.541129,94,0.0
1676032078.542235,95,0.0
1676032078.54337,96,0.0
1676032078.544493,97,0.0
1676032078.545596,98,0.0
1676032078.546694,99,0.0
1676032078.547831,100,0.0
1676032078.548933,101,0.0
1676032078.550028,102,0.0
1676032078.551153,103,0.0
1676032078.552262,104,0.0
1676032078.553388,105,0.0
1676032078.554514,106,0.0
1676032078.555649,107,0.0
1676032078.556774,108,0.0
1676032078.557891,109,0.0
1676032078.559019,110,0.0
1676032078.560148,111,0.0
1676032078.561266,112,0.0
1676032078.562398,113,0.0
1676032078.563527,114,0.0
1676032078.56464,115,0.0
1676032078.565743,116,0.0
1676032078.566844,117,0.0
1676032078.56799,118,0.0
1676032078.569109,119,0.0
1676032078.570211,120,0.0
1676032078.571338,121,0.0
1676032078.572447,122,0.0
1676032078.573555,123,0.0
1676032078.574662,124,0.0
1676032078.575816,125,0.0
1676032078.576924,126,0.0
1676032078.578017,127,0.0
1676032078.579131,128,0.0
1676032078.580276,129,0.0
1676032078.581374,130,0.0
1676032078.582479,131,0.0
1676032078.583616,132,0.0
1676032078.58474,133,0.0
1676032078.585831,134,0.0
1676032078.58694,135,0.0
1676032078.588059,136,0.0
1676032078.589172,137,0.0
1676032078.590267,138,0.0
1676032078.591383,139,0.0
1676032078.592515,140,0.0
1676032078.593614,141,0.0
1676032078.594713,142,0.0
1676032078.595852,143,0.0
1676032078.596965,144,0.0
1676032078.598069,145,0.0
1676032078.599182,146,0.0
1676032078.600295,147,0.0
1676032078.601408,148,0.0
1676032078.602516,149,0.0
1676032078.603624,150,0.0
1676032078.604737,151,0.0
1676032078.606011,152,0.0
1676032078.607346,153,0.0
1676032078.608471,154,0.0
1676032078.609582,155,0.0
1676032078.610681,156,0.0
1676032078.611842,157,0.0
1676032078.612955,158,0.0
1676032078.61406,159,0.0
1676032078.61519,160,0.0
1676032078.616466,161,0.0
1676032078.61759,162,0.0
1676032078.618692,163,0.0
1676032078.619847,164,0.0
1676032078.62096,165,0.0
1676032078.62207,166,0.0
1676032078.623201,167,0.0
1676032078.624322,168,0.0
1676032078.625448,169,0.0
1676032078.626543,170,0.0
1676032078.627679,171,0.0
1676032078.62879,172,0.0
1676032078.629897,173,0.0
1676032078.630995,174,0.0
1676032078.63212,175,0.0
1676032078.6332,176,0.0
1676032078.634298,177,0.0
1676032078.635418,178,0.0
1676032078.636563,179,0.0
1676032078.637662,180,0.0
1676032078.638828,181,0.0
1676032078.640016,182,0.0
1676032078.641137,183,0.0
1676032078.642231,184,0.0
1676032078.643344,185,0.0
1676032078.644425,186,0.0
1676032078.645513,187,0.0
1676032078.646615,188,0.0
1676032078.647743,189,0.0
1676032078.648844,190,0.0
1676032078.650014,191,0.0
1676032078.65117,192,0.0
1676032078.652306,193,0.0
1676032078.653393,194,0.0
1676032078.654506,195,0.0
1676032078.655633,196,0.0
1676032078.656794,197,0.0
1676032078.657913,198,0.0
1676032078.659043,199,0.0
1676032078.660195,200,0.0
1676032078.661317,201,0.0
1676032078.662419,202,0.0
1676032078.66356,203,0.0
1676032078.664667,204,0.0
1676032078.665811,205,0.0
1676032078.666909,206,0.0
1676032078.668041,207,0.0
1676032078.669153,208,0.0
1676032078.670262,209,0.0
1676032078.671361,210,0.0
1676032078.672499,211,0.0
1676032078.673602,212,0.0
1676032078.674732,213,0.0
1676032078.675853,214,0.0
1676032078.676982,215,0.0
1676032078.678071,216,0.0
1676032078.679194,217,0.0
1676032078.680327,218,0.0
1676032078.681439,219,0.0
1676032078.682547,220,0.0
1676032078.683694,221,0.0
1676032078.684801,222,0.0
1676032078.685905,223,0.0
1676032078.687,224,0.0
1676032078.688149,225,0.0
1676032078.689252,226,0.0
1676032078.690364,227,0.0
1676032078.691481,228,0.0
1676032078.692594,229,0.0
1676032078.693691,230,0.0
1676032078.694779,231,0.0
1676032078.695919,232,0.0
1676032078.697045,233,0.0
1676032078.698142,234,0.0
1676032078.699263,235,0.0
1676032078.700382,236,0.0
1676032078.701514,237,0.0
1676032078.70261,238,0.0
1676032078.703728,239,0.0
1676032078.704828,240,0.0
1676032078.705947,241,0.0
1676032078.707266,242,0.0
1676032078.708407,243,0.0
1676032078.709546,244,0.0
1676032078.710701,245,0.0
1676032078.71185,246,0.0
1676032078.712969,247,0.0
1676032078.71414,248,0.0
1676032078.715303,249,0.0
1676032078.716584,250,0.0
1676032078.717887,251,0.0
1676032078.719011,252,0.0
1676032078.720161,253,0.0
1676032078.721356,254,0.0
1676032078.722509,255,0.0
1676032078.723658,256,0.0
1676032078.724842,257,0.0
1676032078.726013,258,0.0
1676032078.727176,259,0.0
1676032078.728332,260,0.0
1676032078.729489,261,0.0
1676032078.7306,262,0.0
1676032078.731743,263,0.0
1676032078.73289,264,0.0
1676032078.734016,265,0.0
1676032078.735147,266,0.0
1676032078.736288,267,0.0
1676032078.737417,268,0.0
1676032078.73855,269,0.0
1676032078.739703,270,0.0
1676032078.740831,271,0.0
1676032078.741943,272,0.0
1676032078.743092,273,0.0
1676032078.744228,274,0.0
1676032078.74535,275,0.0
1676032078.74647,276,0.0
1676032078.747632,277,0.0
1676032078.74877,278,0.0
1676032078.749891,279,0.0
1676032078.750998,280,0.0
1676032078.752128,281,0.0
1676032078.753221,282,0.0
1676032078.754327,283,0.0
1676032078.755403,284,0.0
1676032078.756556,285,0.0
1676032078.757671,286,0.0
1676032078.758761,287,0.0
1676032078.759915,288,0.0
1676032078.761033,289,0.0
1676032078.762105,290,0.0
1676032078.763243,291,0.0
1676032078.764373,292,0.0
1676032078.76553,293,0.0
1676032078.766589,294,0.0
1676032078.767723,295,0.0
1676032078.76886,296,0.0
1676032078.769938,297,0.0
1676032078.771035,298,0.0
1676032078.772156,299,0.0
1676032078.773279,300,0.0
1676032078.774362,301,0.0
1676032078.775453,302,0.0
1676032078.776607,303,0.0
1676032078.777715,304,0.0
1676032078.778848,305,0.0
1676032078.779992,306,0.0
1676032078.781104,307,0.0
1676032078.782164,308,0.0
1676032078.783258,309,0.0
1676032078.784379,310,0.0
1676032078.785483,311,0.0
1676032078.786567,312,0.0
1676032078.787883,313,0.0
1676032078.788987,314,0.0
1676032078.790051,315,0.0
1676032078.791092,316,0.0
1676032078.792203,317,0.0
1676032078.793281,318,0.0
1676032078.79432,319,0.0
1676032078.795393,320,0.0
1676032078.796519,321,0.0
1676032078.797584,322,0.0
1676032078.798636,323,0.0
1676032078.799717,324,0.0
1676032078.800849,325,0.0
1676032078.801916,326,0.0
1676032078.802977,327,0.0
1676032078.804072,328,0.0
1676032078.8052,329,0.0
1676032078.806261,330,0.0
1676032078.807358,331,0.0
1676032078.808452,332,0.0
1676032078.809558,333,0.0
1676032078.810623,334,0.0
1676032078.811719,335,0.0
1676032078.812796,336,0.0
1676032078.813895,337,0.0
1676032078.814996,338,0.0
1676032078.816094,339,0.0
1676032078.817311,340,0.0
1676032078.818411,341,0.0
1676032078.819509,342,0.0
1676032078.820601,343,0.0
1676032078.821684,344,0.0
1676032078.822774,345,0.0
1676032078.823882,346,0.0
1676032078.824971,347,0.0
1676032078.826057,348,0.0
1676032078.827174,349,0.0
1676032078.828275,350,0.0
1676032078.829389,351,0.0
1676032078.830469,352,0.0
1676032078.831593,353,0.0
1676032078.832683,354,0.0
1676032078.833774,355,0.0
1676032078.834846,356,0.0
1676032078.835973,357,0.0
1676032078.837068,358,0.0
1676032078.838154,359,0.0
1676032078.83927,360,0.0
1676032078.840397,361,0.0
1676032078.841474,362,0.0
1676032078.842575,363,0.0
1676032078.843659,364,0.0
1676032078.844777,365,0.0
1676032078.845869,366,0.0
1676032078.846964,367,0.0
1676032078.848078,368,0.0
1676032078.849191,369,0.0
1676032078.850259,370,0.0
1676032078.851329,371,0.0
1676032078.852428,372,0.0
1676032078.853524,373,0.0
1676032078.854569,374,0.0
1676032078.855662,375,0.0
1676032078.856755,376,0.0
1676032078.857847,377,0.0
1676032078.858938,378,0.0
1676032078.860035,379,0.0
1676032078.861187,380,0.0
1676032078.862308,381,0.0
1676032078.863422,382,0.0
1676032078.864534,383,0.0
1676032078.865604,384,0.0
1676032078.866664,385,0.0
1676032078.867757,386,0.0
1676032078.868881,387,0.0
1676032078.869969,388,0.0
1676032078.871046,389,0.0
1676032078.87214,390,0.0
1676032078.873246,391,0.0
1676032078.87429,392,0.0
1676032078.875379,393,0.0
1676032078.876468,394,0.0
1676032078.877517,395,0.0
1676032078.8786,396,0.0
1676032078.879737,397,0.0
1676032078.880849,398,0.0
1676032078.881931,399,0.0
1676032078.883037,400,0.0
1676032078.88415,401,0.0
1676032078.885235,402,0.0
1676032078.886299,403,0.0
1676032078.887597,404,0.0
1676032078.88873,405,0.0
1676032078.889835,406,0.0
1676032078.890908,407,0.0
1676032078.892051,408,0.0
1676032078.893186,409,0.0
1676032078.894271,410,0.0
1676032078.895377,411,0.0
1676032078.896497,412,0.0
1676032078.897632,413,0.0
1676032078.898682,414,0.0
1676032078.899819,415,0.0
1676032078.900947,416,0.0
