Wall time,Step,Value,Std
1737740239.26937,1,0,0
1737740239.27132,2,0.24677163362503,0.216395929455757
1737740239.27246,3,0.349439710378647,0.31678232550621
1737740239.28283,4,0.424101918935776,0.373919010162354
1737740239.28578,5,0.500345230102539,0.419676721096039
1737740239.3101,6,0.583748996257782,0.473347365856171
1737740239.31263,7,0.636752367019653,0.522178471088409
1737740239.31502,8,0.702157974243164,0.571477353572845
1737740239.31785,9,0.741045892238617,0.617453396320343
1737740239.339,10,0.778563678264618,0.64017379283905
1737740239.34085,11,0.82690566778183,0.679884970188141
1737740239.35182,12,0.879552602767944,0.712294280529022
1737740239.36619,13,0.942053735256195,0.763256907463074
1737740239.36744,14,1.00715661048889,0.812158346176147
1737740239.36919,15,1.07876074314117,0.853603780269623
1737740239.37203,16,1.13453555107117,0.906687557697296
1737740239.37405,17,1.19638061523438,0.975089430809021
1737740239.37513,18,1.24804377555847,1.01078534126282
1737740239.37677,19,1.30311036109924,1.07396602630615
1737740239.37788,20,1.36186325550079,1.08727097511292
1737740239.37902,21,1.43269312381744,1.15166652202606
1737740239.38074,22,1.4942307472229,1.20922708511353
1737740239.38211,23,1.52955365180969,1.2804206609726
1737740239.38474,24,1.5761331319809,1.30271780490875
1737740239.38716,25,1.61247932910919,1.35868120193481
1737740239.38924,26,1.67241787910461,1.39493823051453
1737740239.39151,27,1.75569558143616,1.45993757247925
1737740239.39377,28,1.79361176490784,1.50789940357208
1737740239.41501,29,1.83478343486786,1.52598762512207
1737740239.41972,30,1.88688588142395,1.52105474472046
1737740239.42179,31,1.94571304321289,1.58051872253418
1737740239.42326,32,2.00163650512695,1.62983644008636
