Wall time,Step,Value,Std
1737740259.00992,1,0,0
1737740259.01179,2,0.162432998418808,0.132412984967232
1737740259.01548,3,0.290598571300507,0.244548067450523
1737740259.01743,4,0.439714372158051,0.377661675214767
1737740259.02206,5,0.589011311531067,0.51570600271225
1737740259.02591,6,0.733083605766296,0.671020448207855
1737740259.03007,7,0.88474977016449,0.850239932537079
1737740259.0338,8,1.06955778598785,0.992191553115845
1737740259.0363,9,1.25839364528656,1.17555904388428
1737740259.03806,10,1.44477117061615,1.37657785415649
1737740259.03994,11,1.64377117156982,1.59269571304321
1737740259.04179,12,1.85403883457184,1.89626348018646
1737740259.04361,13,2.11754441261291,2.20117020606995
1737740259.04539,14,2.40086007118225,2.49866676330566
1737740259.05354,15,2.66435813903809,2.80345559120178
1737740259.0676,16,2.95289707183838,3.06037020683289
1737740259.06964,17,3.23861289024353,3.32207179069519
1737740259.07166,18,3.49839878082275,3.61938118934631
1737740259.07331,19,3.7699863910675,3.91819548606873
1737740259.07501,20,4.07514905929565,4.2232027053833
1737740259.07714,21,4.38696765899658,4.45810604095459
1737740259.07895,22,4.73097467422485,5.02655792236328
1737740259.08068,23,4.99722242355347,5.43459510803223
1737740259.08229,24,5.41255140304565,6.03205251693726
1737740259.08396,25,5.70750284194946,6.11531114578247
1737740259.08555,26,6.17529964447022,6.55221557617188
1737740259.08719,27,6.44848823547363,7.15395927429199
1737740259.08882,28,6.80365228652954,7.60058641433716
1737740259.09042,29,7.19892406463623,7.93414688110352
1737740259.092,30,7.77753019332886,8.73911666870117
1737740259.0998,31,8.38998031616211,9.49442386627197
1737740259.11605,32,9.01141834259033,10.442569732666
