Wall time,Step,Value,Std
1737740256.62168,1,1.72091472148895,0.246335715055466
1737740256.62335,2,2.56538414955139,0.371128439903259
1737740256.62578,3,3.2583475112915,0.595833480358124
1737740256.6284,4,3.88833045959473,0.871275186538696
1737740256.63079,5,4.55270862579346,1.15006649494171
1737740256.63314,6,5.22156715393066,1.48292541503906
1737740256.63559,7,5.87080144882202,1.77530670166016
1737740256.63796,8,6.56935548782349,2.13189721107483
1737740256.64285,9,7.25918865203857,2.56556487083435
1737740256.64424,10,7.90908050537109,2.8754825592041
1737740256.64559,11,8.57534313201904,3.2314190864563
1737740256.64698,12,9.34608459472656,3.73682355880737
1737740256.64889,13,10.1975622177124,4.33943462371826
1737740256.65024,14,11.0241737365723,5.24856090545654
1737740256.6548,15,11.8614234924316,5.86142873764038
1737740256.65674,16,12.8185529708862,6.62734508514404
1737740256.65797,17,13.7553367614746,7.11812925338745
1737740256.65934,18,14.7115364074707,8.07720947265625
1737740256.66702,19,15.6744260787964,8.80501556396484
1737740256.669,20,16.6706218719482,9.54510307312012
1737740256.67077,21,17.6946067810059,10.5897350311279
1737740256.67249,22,18.6844348907471,11.5030498504639
1737740256.67405,23,19.9535083770752,13.0153799057007
1737740256.67581,24,20.9344692230225,13.4986619949341
1737740256.67738,25,22.0002536773682,15.1480321884155
1737740256.67909,26,23.05637550354,16.0710182189941
1737740256.68071,27,24.6105632781982,17.3748054504395
1737740256.68242,28,25.7578792572021,18.446439743042
1737740256.68403,29,26.8185272216797,19.7840747833252
1737740256.6856,30,28.0605792999268,20.4954013824463
1737740256.68721,31,29.8326168060303,23.3092803955078
1737740256.6894,32,31.078893661499,24.8385734558105
