Wall time,Step,Value
1675359271.299673,0,1.0
1675359271.30138,1,1.0
1675359271.30243,2,0.999500036239624
1675359271.303585,3,0.9985000491142273
1675359271.304811,4,0.9949000477790833
1675359271.306369,5,0.9885000586509705
1675359271.307902,6,0.9784000515937805
1675359271.309148,7,0.9656000733375549
1675359271.310704,8,0.9475000500679016
1675359271.312123,9,0.9250000715255737
1675359271.313461,10,0.9005000591278076
1675359271.315029,11,0.8736000657081604
1675359271.316227,12,0.8473000526428223
1675359271.317178,13,0.8122000098228455
1675359271.318115,14,0.7755000591278076
1675359271.319088,15,0.7354000210762024
1675359271.320057,16,0.6899000406265259
1675359271.32102,17,0.6379000544548035
1675359271.321986,18,0.5847000479698181
1675359271.322957,19,0.5164000391960144
1675359271.323923,20,0.4471000134944916
1675359271.324889,21,0.37870001792907715
1675359271.325839,22,0.31370002031326294
1675359271.326793,23,0.2517000138759613
1675359271.327767,24,0.19370001554489136
1675359271.328721,25,0.14750000834465027
1675359271.329676,26,0.11230000853538513
1675359271.330651,27,0.08170000463724136
1675359271.331618,28,0.057100001722574234
1675359271.332578,29,0.03760000318288803
1675359271.333524,30,0.023100001737475395
1675359271.334477,31,0.014600000344216824
1675359271.335427,32,0.009700000286102295
1675359271.336378,33,0.005600000265985727
1675359271.337325,34,0.003200000151991844
1675359271.33827,35,0.0012000000569969416
1675359271.339439,36,0.0007000000332482159
1675359271.340405,37,0.0005000000237487257
1675359271.341347,38,0.0003000000142492354
1675359271.342465,39,0.0003000000142492354
1675359271.34342,40,0.00010000000474974513
1675359271.344376,41,0.0
1675359271.345317,42,0.0
1675359271.346265,43,0.0
1675359271.347227,44,0.0
1675359271.348175,45,0.0
1675359271.349121,46,0.0
1675359271.350066,47,0.0
1675359271.351021,48,0.0
1675359271.351969,49,0.0
1675359271.352909,50,0.0
1675359271.353853,51,0.0
1675359271.3548,52,0.0
1675359271.355764,53,0.0
1675359271.356712,54,0.0
1675359271.35766,55,0.0
1675359271.35861,56,0.0
1675359271.359575,57,0.0
1675359271.360521,58,0.0
1675359271.361456,59,0.0
1675359271.362391,60,0.0
1675359271.363435,61,0.0
1675359271.364474,62,0.0
1675359271.365402,63,0.0
1675359271.366337,64,0.0
1675359271.367287,65,0.0
1675359271.368237,66,0.0
1675359271.36917,67,0.0
1675359271.370096,68,0.0
1675359271.373121,69,0.0
1675359271.374094,70,0.0
1675359271.375035,71,0.0
1675359271.375955,72,0.0
1675359271.376867,73,0.0
1675359271.377781,74,0.0
