Slopes for M scaling:
Configuration | Slope | R^2 | Points
--------------------------------------------------
N=8, D_IN=20, L=6 | 0.989 | 1.000 | 16
N=8, D_IN=20, L=10 | 0.997 | 1.000 | 15
N=8, D_IN=20, L=12 | 0.996 | 1.000 | 15
N=8, D_IN=100, L=6 | 1.000 | 1.000 | 14
N=8, D_IN=100, L=8 | 0.999 | 1.000 | 14
N=16, D_IN=20, L=10 | 0.992 | 1.000 | 14
N=16, D_IN=20, L=2 | 1.001 | 1.000 | 14
N=8, D_IN=100, L=14 | 1.001 | 1.000 | 14
N=8, D_IN=100, L=10 | 1.001 | 1.000 | 14
N=16, D_IN=100, L=4 | 0.998 | 1.000 | 13
N=8, D_IN=100, L=18 | 0.997 | 1.000 | 13
N=16, D_IN=100, L=8 | 0.999 | 1.000 | 12
N=32, D_IN=20, L=8 | 0.993 | 0.999 | 12
N=16, D_IN=200, L=6 | 1.000 | 1.000 | 11
N=10, D_IN=50, L=2 | 1.004 | 1.000 | 11
N=10, D_IN=50, L=6 | 0.989 | 1.000 | 11
N=10, D_IN=20, L=16 | 0.957 | 0.999 | 11
N=8, D_IN=20, L=24 | 0.940 | 0.999 | 11
N=10, D_IN=50, L=8 | 0.999 | 1.000 | 10
N=16, D_IN=100, L=16 | 0.993 | 1.000 | 10
N=10, D_IN=50, L=12 | 1.002 | 1.000 | 10
N=25, D_IN=20, L=4 | 0.996 | 1.000 | 10
N=8, D_IN=20, L=32 | 0.994 | 0.998 | 10
N=8, D_IN=50, L=20 | 0.978 | 1.000 | 10
N=8, D_IN=500, L=4 | 0.999 | 1.000 | 9
N=10, D_IN=20, L=34 | 0.946 | 0.992 | 9
N=25, D_IN=20, L=12 | 0.969 | 0.998 | 9
N=16, D_IN=20, L=26 | 0.933 | 0.997 | 9
N=8, D_IN=20, L=40 | 0.950 | 0.999 | 9
N=32, D_IN=50, L=12 | 0.913 | 0.988 | 9
N=10, D_IN=200, L=2 | 0.996 | 1.000 | 9
N=32, D_IN=20, L=18 | 0.973 | 0.999 | 9
N=10, D_IN=100, L=12 | 0.996 | 1.000 | 9
N=8, D_IN=100, L=20 | 1.001 | 1.000 | 9
N=8, D_IN=20, L=42 | 0.958 | 1.000 | 9
N=8, D_IN=50, L=38 | 0.975 | 0.999 | 8
N=10, D_IN=50, L=28 | 0.985 | 0.999 | 8
N=10, D_IN=200, L=14 | 0.998 | 1.000 | 8
N=10, D_IN=200, L=10 | 1.000 | 1.000 | 8
N=25, D_IN=50, L=10 | 1.025 | 1.000 | 8
N=25, D_IN=100, L=4 | 1.000 | 1.000 | 8
N=25, D_IN=50, L=16 | 0.986 | 0.998 | 8
