Slopes for L scaling:
Configuration | Slope | R^2 | Points
--------------------------------------------------
N=8, D_IN=20, M=10 | 1.008 | 0.968 | 65
N=16, D_IN=20, M=10 | 1.001 | 0.994 | 53
N=8, D_IN=100, M=20 | 0.999 | 0.997 | 48
N=8, D_IN=200, M=10 | 0.995 | 0.997 | 48
N=16, D_IN=100, M=10 | 1.010 | 0.989 | 43
N=10, D_IN=50, M=30 | 1.011 | 0.995 | 43
N=25, D_IN=20, M=20 | 1.041 | 0.980 | 43
N=10, D_IN=50, M=40 | 1.022 | 0.991 | 38
N=32, D_IN=20, M=20 | 1.045 | 0.982 | 38
N=8, D_IN=20, M=60 | 1.041 | 0.988 | 38
N=8, D_IN=50, M=50 | 1.015 | 0.993 | 38
N=16, D_IN=20, M=40 | 1.044 | 0.951 | 38
N=10, D_IN=200, M=30 | 1.027 | 0.993 | 33
N=10, D_IN=50, M=50 | 1.037 | 0.993 | 33
N=10, D_IN=1000, M=10 | 1.031 | 0.992 | 33
N=25, D_IN=50, M=30 | 1.045 | 0.990 | 33
N=8, D_IN=1000, M=20 | 1.024 | 0.994 | 33
N=32, D_IN=200, M=10 | 1.062 | 0.988 | 28
N=10, D_IN=200, M=40 | 1.045 | 0.993 | 28
N=10, D_IN=500, M=30 | 1.043 | 0.993 | 28
N=32, D_IN=20, M=40 | 1.113 | 0.983 | 28
N=10, D_IN=2000, M=10 | 1.044 | 0.993 | 28
N=16, D_IN=1000, M=10 | 1.052 | 0.991 | 28
N=8, D_IN=20, M=80 | 1.053 | 0.993 | 28
N=8, D_IN=50, M=80 | 1.054 | 0.993 | 23
N=8, D_IN=500, M=50 | 1.058 | 0.993 | 23
N=8, D_IN=2000, M=30 | 1.055 | 0.993 | 23
N=25, D_IN=1000, M=10 | 1.078 | 0.988 | 23
N=10, D_IN=200, M=50 | 1.061 | 0.992 | 23
N=32, D_IN=500, M=10 | 1.080 | 0.987 | 23
N=25, D_IN=500, M=20 | 1.113 | 0.974 | 23
N=16, D_IN=500, M=30 | 1.071 | 0.990 | 23
N=16, D_IN=50, M=60 | 1.072 | 0.988 | 23
N=10, D_IN=5000, M=20 | 1.086 | 0.992 | 18
N=16, D_IN=1000, M=30 | 1.100 | 0.989 | 18
N=25, D_IN=200, M=40 | 1.105 | 0.987 | 18
N=50, D_IN=100, M=20 | 1.124 | 0.985 | 18
N=40, D_IN=200, M=20 | 1.119 | 0.986 | 18
N=64, D_IN=20, M=30 | 1.173 | 0.986 | 18
N=10, D_IN=20, M=90 | 1.095 | 0.991 | 18
N=10, D_IN=500, M=50 | 1.086 | 0.991 | 18
N=10, D_IN=50, M=80 | 1.086 | 0.991 | 18
N=32, D_IN=50, M=50 | 1.119 | 0.987 | 18
N=40, D_IN=100, M=30 | 1.115 | 0.986 | 18
N=10, D_IN=500, M=60 | 1.126 | 0.991 | 13
N=25, D_IN=2000, M=20 | 1.159 | 0.987 | 13
N=40, D_IN=200, M=30 | 1.169 | 0.986 | 13
N=32, D_IN=100, M=50 | 1.163 | 0.986 | 13
N=16, D_IN=20, M=90 | 1.151 | 0.988 | 13
N=10, D_IN=100, M=80 | 1.127 | 0.990 | 13
N=8, D_IN=500, M=70 | 1.116 | 0.993 | 13
N=64, D_IN=50, M=30 | 1.166 | 0.981 | 13
N=25, D_IN=500, M=40 | 1.160 | 0.987 | 13
N=8, D_IN=20, M=200 | 1.114 | 0.990 | 13
N=80, D_IN=50, M=20 | 1.188 | 0.984 | 13
N=32, D_IN=50, M=60 | 1.163 | 0.986 | 13
N=32, D_IN=50, M=100 | 1.238 | 0.987 | 9
N=8, D_IN=100, M=100 | 1.168 | 0.993 | 9
N=16, D_IN=200, M=100 | 1.207 | 0.990 | 9
N=16, D_IN=20, M=200 | 1.207 | 0.991 | 9
N=8, D_IN=100, M=500 | 1.167 | 0.993 | 9
N=110, D_IN=50, M=10 | 1.310 | 0.988 | 8
N=80, D_IN=20, M=40 | 1.283 | 0.981 | 8
N=10, D_IN=1000, M=60 | 1.198 | 0.993 | 8
N=25, D_IN=200, M=60 | 1.254 | 0.989 | 8
N=10, D_IN=500, M=70 | 1.199 | 0.993 | 8
N=32, D_IN=5000, M=10 | 1.259 | 0.988 | 8
N=25, D_IN=1000, M=40 | 1.252 | 0.989 | 8
N=16, D_IN=100, M=80 | 1.231 | 0.991 | 8
N=110, D_IN=20, M=20 | 1.292 | 0.984 | 8
N=25, D_IN=50, M=80 | 1.251 | 0.988 | 8
N=10, D_IN=100, M=90 | 1.205 | 0.992 | 8
N=8, D_IN=5000, M=50 | 1.183 | 0.994 | 8
N=8, D_IN=2000, M=60 | 1.182 | 0.994 | 8
N=32, D_IN=50, M=200 | 1.330 | 0.990 | 6
N=64, D_IN=20, M=100 | 1.355 | 0.984 | 6
N=64, D_IN=20, M=200 | 1.501 | 0.993 | 4
N=32, D_IN=20, M=1000 | 1.463 | 0.992 | 4
