Slopes for D_IN scaling:
Configuration | Slope | R^2 | Points
--------------------------------------------------
N=8, L=10, M=40 | 0.015 | 0.600 | 8
N=10, L=10, M=20 | 0.011 | 0.678 | 8
N=8, L=6, M=30 | 0.008 | 0.816 | 8
N=10, L=14, M=20 | 0.013 | 0.760 | 8
N=8, L=48, M=10 | -0.000 | 0.416 | 8
N=10, L=26, M=30 | 0.004 | 0.328 | 8
N=10, L=14, M=10 | 0.011 | 0.438 | 8
N=8, L=16, M=10 | 0.002 | 0.552 | 8
N=25, L=4, M=10 | 0.014 | 0.610 | 8
N=16, L=24, M=20 | 0.003 | 0.190 | 8
N=16, L=24, M=10 | 0.005 | 0.465 | 8
N=32, L=12, M=10 | -0.017 | 0.080 | 8
N=8, L=10, M=50 | 0.018 | 0.531 | 8
N=8, L=40, M=20 | 0.001 | 0.471 | 8
N=8, L=28, M=20 | 0.006 | 0.750 | 8
N=8, L=44, M=20 | -0.028 | 0.157 | 8
N=8, L=38, M=10 | 0.004 | 0.353 | 8
N=10, L=34, M=20 | 0.001 | 0.621 | 8
N=16, L=26, M=20 | 0.005 | 0.347 | 8
N=8, L=24, M=30 | 0.007 | 0.480 | 8
N=16, L=10, M=20 | 0.011 | 0.628 | 8
N=10, L=16, M=20 | 0.005 | 0.731 | 8
N=10, L=18, M=30 | -0.012 | 0.134 | 8
N=10, L=24, M=20 | 0.007 | 0.669 | 8
N=25, L=6, M=10 | 0.006 | 0.802 | 8
N=8, L=30, M=30 | 0.008 | 0.650 | 8
N=10, L=20, M=20 | 0.010 | 0.509 | 8
N=8, L=6, M=10 | 0.007 | 0.706 | 8
N=16, L=12, M=20 | 0.007 | 0.762 | 8
N=8, L=8, M=20 | 0.019 | 0.547 | 8
N=8, L=32, M=30 | 0.012 | 0.533 | 8
N=10, L=2, M=20 | 0.011 | 0.845 | 8
N=8, L=6, M=40 | 0.011 | 0.763 | 8
N=16, L=2, M=20 | 0.019 | 0.759 | 8
N=8, L=6, M=50 | 0.018 | 0.577 | 8
N=16, L=14, M=10 | 0.015 | 0.631 | 8
N=8, L=20, M=40 | 0.008 | 0.674 | 8
N=8, L=30, M=10 | 0.003 | 0.274 | 8
N=10, L=24, M=30 | 0.000 | 0.001 | 8
N=8, L=12, M=30 | 0.017 | 0.482 | 8
N=32, L=14, M=10 | 0.007 | 0.347 | 8
N=8, L=42, M=10 | 0.000 | 0.248 | 8
N=8, L=16, M=30 | 0.012 | 0.685 | 8
N=10, L=22, M=10 | 0.003 | 0.357 | 8
N=8, L=20, M=20 | 0.006 | 0.482 | 8
N=8, L=36, M=30 | 0.010 | 0.529 | 8
N=16, L=12, M=30 | 0.012 | 0.724 | 8
N=8, L=24, M=20 | 0.006 | 0.473 | 8
N=50, L=6, M=10 | 0.023 | 0.775 | 7
N=25, L=2, M=40 | 0.019 | 0.684 | 7
N=25, L=8, M=30 | 0.013 | 0.837 | 7
N=10, L=34, M=30 | -0.018 | 0.265 | 7
N=40, L=12, M=10 | 0.005 | 0.876 | 7
N=8, L=8, M=60 | 0.021 | 0.725 | 7
N=8, L=40, M=30 | 0.017 | 0.670 | 7
N=8, L=46, M=30 | 0.015 | 0.018 | 7
N=25, L=30, M=10 | 0.000 | 0.040 | 7
N=16, L=42, M=10 | -0.003 | 0.170 | 7
N=25, L=34, M=10 | -0.046 | 0.148 | 7
N=8, L=18, M=50 | 0.013 | 0.688 | 7
N=10, L=28, M=30 | 0.014 | 0.632 | 7
N=16, L=4, M=50 | 0.018 | 0.703 | 7
N=10, L=24, M=40 | 0.027 | 0.716 | 7
N=10, L=42, M=20 | 0.004 | 0.367 | 7
N=16, L=2, M=50 | 0.023 | 0.720 | 7
N=8, L=90, M=10 | -0.000 | 0.601 | 7
N=25, L=28, M=10 | 0.006 | 0.574 | 7
N=16, L=30, M=20 | 0.017 | 0.546 | 7
N=32, L=22, M=10 | -0.001 | 0.041 | 7
N=16, L=46, M=10 | -0.000 | 0.711 | 7
N=16, L=6, M=50 | 0.015 | 0.766 | 7
N=16, L=38, M=10 | -0.015 | 0.025 | 7
N=8, L=58, M=10 | -0.000 | 0.226 | 7
N=8, L=18, M=60 | 0.018 | 0.883 | 6
N=10, L=40, M=30 | 0.020 | 0.667 | 6
N=8, L=50, M=30 | 0.006 | 0.193 | 6
N=8, L=22, M=60 | 0.029 | 0.797 | 6
N=32, L=26, M=20 | 0.006 | 0.084 | 6
N=32, L=18, M=20 | 0.022 | 0.509 | 6
N=25, L=38, M=10 | 0.010 | 0.424 | 6
N=32, L=2, M=40 | 0.031 | 0.809 | 6
N=16, L=54, M=10 | 0.001 | 0.121 | 6
N=25, L=6, M=50 | 0.027 | 0.760 | 6
N=16, L=44, M=20 | 0.001 | 0.219 | 6
N=10, L=4, M=70 | 0.027 | 0.757 | 6
N=8, L=10, M=70 | 0.034 | 0.781 | 6
N=8, L=80, M=20 | 0.001 | 0.097 | 6
N=32, L=28, M=10 | 0.002 | 0.078 | 6
N=10, L=24, M=50 | 0.012 | 0.704 | 6
N=10, L=90, M=10 | -0.000 | 0.660 | 6
N=10, L=18, M=50 | 0.020 | 0.819 | 6
N=32, L=34, M=10 | 0.000 | 0.000 | 6
N=10, L=30, M=40 | 0.016 | 0.560 | 6
N=50, L=12, M=10 | 0.007 | 0.477 | 6
N=8, L=100, M=10 | -0.000 | 0.658 | 6
N=8, L=44, M=40 | 0.024 | 0.830 | 6
N=16, L=40, M=20 | 0.009 | 0.698 | 6
N=16, L=50, M=10 | -0.000 | 0.013 | 6
N=40, L=12, M=20 | 0.025 | 0.669 | 6
N=25, L=36, M=20 | 0.003 | 0.550 | 6
N=16, L=46, M=20 | 0.001 | 0.488 | 6
N=32, L=6, M=40 | 0.028 | 0.723 | 6
N=8, L=42, M=40 | 0.003 | 0.320 | 6
N=25, L=2, M=50 | 0.028 | 0.782 | 6
N=8, L=90, M=20 | -0.000 | 0.469 | 6
