Wall time,Step,Value
1675611603.978679,0,12.86336612701416
1675611603.989876,1,14.860623359680176
1675611603.999944,2,13.900941848754883
1675611604.009969,3,12.419239044189453
1675611604.020004,4,11.384684562683105
1675611604.030349,5,10.874820709228516
1675611604.040282,6,10.634357452392578
1675611604.050279,7,10.545393943786621
1675611604.060235,8,10.508590698242188
1675611604.070157,9,10.481633186340332
1675611604.080109,10,10.480270385742188
1675611604.090234,11,10.466866493225098
1675611604.100237,12,10.47149658203125
1675611604.110166,13,10.466741561889648
1675611604.120216,14,10.461274147033691
1675611604.130432,15,10.463562965393066
1675611604.14056,16,10.456613540649414
1675611604.150766,17,10.460193634033203
1675611604.161157,18,10.449462890625
1675611604.171122,19,10.447690963745117
1675611604.181081,20,10.440408706665039
1675611604.191182,21,10.436004638671875
1675611604.20109,22,10.42934513092041
1675611604.211032,23,10.425277709960938
1675611604.220982,24,10.418046951293945
1675611604.230886,25,10.414273262023926
1675611604.24077,26,10.407011032104492
1675611604.25068,27,10.402008056640625
1675611604.260974,28,10.395722389221191
1675611604.271232,29,10.390169143676758
1675611604.281306,30,10.383852005004883
1675611604.291366,31,10.37825870513916
1675611604.301306,32,10.372004508972168
1675611604.311206,33,10.366300582885742
1675611604.321146,34,10.360197067260742
1675611604.33103,35,10.354348182678223
1675611604.340885,36,10.348371505737305
1675611604.350793,37,10.342455863952637
1675611604.36073,38,10.33652114868164
1675611604.370606,39,10.33060073852539
1675611604.380748,40,10.32468032836914
1675611604.390736,41,10.31877326965332
1675611604.40096,42,10.312871932983398
1675611604.411242,43,10.306985855102539
1675611604.421388,44,10.301105499267578
1675611604.431549,45,10.295239448547363
1675611604.445228,46,10.28939151763916
1675611604.455073,47,10.283559799194336
1675611604.464985,48,10.277745246887207
1675611604.474835,49,10.27194881439209
1675611604.484726,50,10.26617431640625
1675611604.494596,51,10.260419845581055
1675611604.504657,52,10.254684448242188
1675611604.51452,53,10.248969078063965
1675611604.524475,54,10.243273735046387
1675611604.534577,55,10.237595558166504
1675611604.544637,56,10.231939315795898
1675611604.554546,57,10.226303100585938
1675611604.564509,58,10.220685005187988
1675611604.574392,59,10.215085983276367
1675611604.584278,60,10.20950698852539
1675611604.594148,61,10.203944206237793
1675611604.604064,62,10.198400497436523
1675611604.614131,63,10.192876815795898
1675611604.624082,64,10.18737506866455
1675611604.633969,65,10.181891441345215
1675611604.644382,66,10.176426887512207
1675611604.654339,67,10.170982360839844
1675611604.664336,68,10.165555953979492
1675611604.674299,69,10.160147666931152
1675611604.684285,70,10.15476131439209
1675611604.694235,71,10.149394035339355
1675611604.704214,72,10.144046783447266
