Wall time,Step,Value,Std
1737740179.93576,1,1.72091472148895,0.246335715055466
1737740179.94341,2,2.93045854568481,0.964219331741333
1737740179.94583,3,3.79524827003479,1.34510123729706
1737740179.94818,4,4.54547071456909,1.63920390605927
1737740179.95013,5,5.22184133529663,1.98943650722504
1737740179.95262,6,5.91484928131104,2.33260488510132
1737740179.95517,7,6.54038095474243,2.68002939224243
1737740179.95764,8,7.18222093582153,2.90033960342407
1737740179.96693,9,7.81944704055786,3.08180570602417
1737740179.96918,10,8.37935066223145,3.26756048202515
1737740179.9785,11,8.90869045257568,3.45021343231201
1737740179.99431,12,9.49961280822754,3.59128999710083
1737740179.99726,13,10.0817441940308,3.78636264801025
1737740180.01421,14,10.6590423583984,4.02129125595093
1737740180.01686,15,11.2731618881226,4.27385187149048
1737740180.02638,16,11.7426977157593,4.37775135040283
1737740180.02833,17,12.26025390625,4.52787303924561
1737740180.03069,18,12.8705348968506,4.75479221343994
1737740180.03297,19,13.4380664825439,4.91414213180542
1737740180.03678,20,13.926477432251,5.04944086074829
1737740180.03885,21,14.4738235473633,5.20367097854614
1737740180.04103,22,14.9844131469727,5.29113864898682
1737740180.04318,23,15.5718297958374,5.56407499313355
1737740180.04545,24,16.0410346984863,5.68048906326294
1737740180.04752,25,16.5904064178467,5.98990964889526
1737740180.06419,26,17.1084995269775,6.18604421615601
1737740180.06639,27,17.6192455291748,6.39808654785156
1737740180.06864,28,18.1474418640137,6.54213237762451
1737740180.0704,29,18.656322479248,6.6699161529541
1737740180.07591,30,19.1500053405762,6.7849760055542
1737740180.07867,31,19.6053524017334,6.9217381477356
1737740180.08159,32,20.1441287994385,7.04236698150635
