Wall time,Step,Value
1675442273.664439,0,153.2423858642578
1675442273.67339,1,347.3708190917969
1675442273.680713,2,476.2365417480469
1675442273.687972,3,346.6385803222656
1675442273.695156,4,188.17100524902344
1675442273.702334,5,77.13628387451172
1675442273.709474,6,25.71298599243164
1675442273.716624,7,9.627189636230469
1675442273.723724,8,4.349460124969482
1675442273.730816,9,3.9533236026763916
1675442273.738305,10,3.601961851119995
1675442273.74592,11,3.274587869644165
1675442273.753413,12,3.1564934253692627
1675442273.760838,13,2.966461181640625
1675442273.768344,14,2.901642084121704
1675442273.775991,15,2.8469035625457764
1675442273.783536,16,2.8063807487487793
1675442273.790962,17,2.7571122646331787
1675442273.798462,18,2.656951904296875
1675442273.806054,19,2.6244661808013916
1675442273.813464,20,2.6303374767303467
1675442273.820896,21,2.5747313499450684
1675442273.828217,22,2.4415197372436523
1675442273.835524,23,2.3346588611602783
1675442273.84282,24,2.3078575134277344
1675442273.850204,25,2.2879016399383545
1675442273.857557,26,2.309798002243042
1675442273.864988,27,2.2758629322052
1675442273.872445,28,2.1704556941986084
1675442273.879969,29,2.127460241317749
1675442273.887396,30,2.046983480453491
1675442273.894753,31,2.0136566162109375
1675442273.902144,32,1.9696025848388672
1675442273.909584,33,1.9411677122116089
1675442273.917079,34,1.9081041812896729
1675442273.924624,35,1.8731281757354736
1675442273.931742,36,1.8571473360061646
1675442273.938865,37,1.7779427766799927
1675442273.945985,38,1.73173987865448
1675442273.95315,39,1.6955890655517578
1675442273.960525,40,1.6677489280700684
1675442273.967647,41,1.640718698501587
1675442273.974727,42,1.6164226531982422
1675442273.981974,43,1.598240613937378
1675442273.989093,44,1.614898920059204
1675442273.996154,45,1.5498172044754028
1675442274.003226,46,1.5597763061523438
1675442274.010317,47,1.53420889377594
1675442274.01743,48,1.461480736732483
1675442274.024957,49,1.4448754787445068
1675442274.032378,50,1.4053819179534912
1675442274.039809,51,1.3844051361083984
1675442274.04688,52,1.4578626155853271
1675442274.053997,53,1.4005300998687744
1675442274.061424,54,1.3255971670150757
1675442274.068547,55,1.2889773845672607
1675442274.075846,56,1.2810434103012085
1675442274.083121,57,1.24509859085083
1675442274.090212,58,1.2263544797897339
1675442274.097307,59,1.2054443359375
1675442274.1044,60,1.189415454864502
1675442274.111497,61,1.1841216087341309
1675442274.118561,62,1.1561291217803955
1675442274.125663,63,1.1422959566116333
1675442274.132738,64,1.125076413154602
1675442274.139817,65,1.0913641452789307
1675442274.146889,66,1.100930094718933
1675442274.153957,67,1.0884917974472046
1675442274.161039,68,1.0700300931930542
1675442274.16811,69,1.0444782972335815
1675442274.175424,70,1.0260378122329712
1675442274.182783,71,1.0376532077789307
1675442274.19036,72,1.006661295890808
1675442274.19781,73,1.013879656791687
1675442274.205196,74,0.9745368957519531
1675442274.212601,75,0.9683876037597656
1675442274.219991,76,0.9841303825378418
1675442274.227419,77,0.9446576237678528
1675442274.234903,78,0.9551793932914734
1675442274.242321,79,0.9365598559379578
1675442274.249458,80,0.9116078019142151
1675442274.256592,81,0.8994566202163696
1675442274.2637,82,0.9264479875564575
1675442274.270808,83,0.9114969968795776
1675442274.27794,84,0.9192826747894287
1675442274.285079,85,0.9127891063690186
1675442274.292314,86,0.8767163157463074
1675442274.299423,87,0.8500262498855591
1675442274.306519,88,0.8389411568641663
1675442274.313675,89,0.8430337309837341
1675442274.320778,90,0.8259199261665344
1675442274.327905,91,0.8119727969169617
1675442274.335006,92,0.8089573383331299
1675442274.342459,93,0.783506453037262
1675442274.349807,94,0.7819327116012573
1675442274.356829,95,0.793401837348938
1675442274.363865,96,0.7743723392486572
1675442274.370955,97,0.7675858736038208
1675442274.378117,98,0.7765476703643799
1675442274.385247,99,0.7773200273513794
